threshold,dimension,group,candidate_frame_encounters,ready_encounters,input_unavailable_encounters,input_unavailable_rate,candidate_cards,candidate_card_rate,support_status,interpretation,claim_limit
0.02000000,age_band,35-44,127,109,18,0.141732,46,0.422018,report synthetic comparison with boundary,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.02000000,age_band,45-54,80,72,8,0.100000,35,0.486111,report synthetic comparison with boundary,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.02000000,age_band,55-64,45,39,6,0.133333,18,0.461538,report synthetic comparison with boundary,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.02000000,age_band,65-70,36,29,7,0.194444,17,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.02000000,source_recorded_gender,female,151,130,21,0.139073,13,0.100000,report synthetic comparison with boundary,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.02000000,source_recorded_gender,male,137,119,18,0.131387,103,0.865546,report synthetic comparison with boundary,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.02000000,language_access,english,264,228,36,0.136364,111,0.486842,report synthetic comparison with boundary,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.02000000,language_access,other_language,8,8,0,,1,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.02000000,language_access,spanish,16,13,3,,4,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.02000000,disability_access,cognitive_support,60,52,8,0.133333,22,0.423077,report synthetic comparison with boundary,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.02000000,disability_access,low_vision,62,52,10,0.161290,27,0.519231,report synthetic comparison with boundary,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.02000000,disability_access,motor_access,48,41,7,0.145833,19,0.463415,report synthetic comparison with boundary,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.02000000,disability_access,none,53,43,10,0.188679,25,0.581395,report synthetic comparison with boundary,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.02000000,disability_access,screen_reader,65,61,4,0.061538,23,0.377049,report synthetic comparison with boundary,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.02000000,bmi_band,25.0-29.9,200,174,26,0.130000,68,0.390805,report synthetic comparison with boundary,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.02000000,bmi_band,30.0-34.9,80,68,12,0.150000,41,0.602941,report synthetic comparison with boundary,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.02000000,bmi_band,35.0-39.9,5,4,1,,4,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
