criterion_id,component,course_points_available,points_earned,status,evidence
A01,Module 01,4.00,REPLACE,REPLACE,REPLACE
A02,Module 01,4.00,REPLACE,REPLACE,REPLACE
A03,Module 01,3.00,REPLACE,REPLACE,REPLACE
A04,Module 01,4.00,REPLACE,REPLACE,REPLACE
R01,Module 02,4.50,REPLACE,REPLACE,REPLACE
R02,Module 02,5.50,REPLACE,REPLACE,REPLACE
P01,Module 03,4.50,REPLACE,REPLACE,REPLACE
P02,Module 03,4.50,REPLACE,REPLACE,REPLACE
P03,Module 03,3.50,REPLACE,REPLACE,REPLACE
H01,Checkpoint 1,2.50,REPLACE,REPLACE,REPLACE
