relative_path,resource_type,rows,unique_ids,duplicate_ids,parse_failures,uncompressed_bytes,compressed_bytes,sha256
fhir/AllergyIntolerance.ndjson.gz,AllergyIntolerance,946,946,0,0,893567,36070,a47cba2e94c778e275bf4d9a713418d80ee1ab7f72263bf0555f52397b87e21d
fhir/CarePlan.ndjson.gz,CarePlan,2754,2754,0,0,5733696,482465,29d7543c5738c4d8b881ff3656c25b286df0a4d97b3a9413ffbf1b36ae023f2e
fhir/CareTeam.ndjson.gz,CareTeam,2754,2754,0,0,3982671,388961,87eeb2a925f54152cf0c2c65ff32adb38941316bbbdcb25ba82cb6cbf4c287bb
fhir/Claim.ndjson.gz,Claim,70143,70143,0,0,143339421,9385673,869744df6cd8f72e775fd10f56d69cd3e958f10edc1eb552a9334cd7d53807dc
fhir/Condition.ndjson.gz,Condition,27857,27857,0,0,27894213,1578721,63ceed4bdebc61c8570302d474b464f872cb0412637569123decc580044556df
fhir/Device.ndjson.gz,Device,1634,1634,0,0,1392577,168054,12bd7efed341c5b2b7fb46bb1c8f8e9ef0d003c730996235f7d8f3f3aa833856
fhir/DiagnosticReport.ndjson.gz,DiagnosticReport,78615,78615,0,0,157518179,14069685,9b95ff046f3fca0323d18bd078a9e715e1b2a1b01945ee44f804ea320a68931c
fhir/DocumentReference.ndjson.gz,DocumentReference,39351,39351,0,0,117748915,9035428,be6fb2cd1257a0fa1ea3c6480b80d05b01938d0eadb2ac960769b2adbea002b4
fhir/Encounter.ndjson.gz,Encounter,39351,39351,0,0,58228958,2582819,236566b1890d0fe885d831ad4ffe2a8a529dc9159d6593cd19cf0bd5f89ba2e2
fhir/ExplanationOfBenefit.ndjson.gz,ExplanationOfBenefit,70143,70143,0,0,510358260,20602930,d75754ccf5ee21231f632f27ea7f3bcb95f30b494df8605a49c8f8bc5bd70d2c
fhir/ImagingStudy.ndjson.gz,ImagingStudy,1044,1044,0,0,1492129,109364,86e4443affc9ee5849349acc7dd6b4ca6014e0e71dd02e60eac904d938a56eea
fhir/Immunization.ndjson.gz,Immunization,5658,5658,0,0,3969753,292690,f3dcafc51b7d9abe102a3373fcca20066481a2481b446baf6f2d9691b1bfabf5
fhir/Location.ndjson.gz,Location,3534,705,2829,0,2631175,351515,669f3091e9500e51452184d4a006d6c82264d405e5fc9df568810f3a0deebcc3
fhir/Medication.ndjson.gz,Medication,6401,6401,0,0,2482738,175913,7d9d6c2a17a52a6fa088e24266ec25bf6c4d0badc7126093e3792ce943bb8eba
fhir/MedicationAdministration.ndjson.gz,MedicationAdministration,6401,6401,0,0,4030306,303504,5338efe50c0b54f83b14106b36e1f508fc4ae0484ff72182e6916a0a5946c6f0
fhir/MedicationRequest.ndjson.gz,MedicationRequest,30792,30792,0,0,35148699,1472850,d6744987c9fbe6227b8c15599408de5702c6b2773cc2b4eef97bfc60c536543e
fhir/Observation.ndjson.gz,Observation,326140,326140,0,0,342454287,21844378,f2d7c14001ef3f656db0e51d23f5099a228c1f357e82d0b9c8134fa3751f6982
fhir/Organization.ndjson.gz,Organization,3464,704,2760,0,2335613,210793,a69ad043a4fe02b5949623c4474338f3987ebff21b05079d122dcfd94d5fc98c
fhir/Patient.ndjson.gz,Patient,1000,1000,0,0,3446932,235743,167fc8a4d52d2195cfbcc7282dd390e647b13c48dc51cceb9d37d78131619b74
fhir/Practitioner.ndjson.gz,Practitioner,3464,704,2760,0,2274659,220805,649c0caf23a89f3ca685aaae4aa88a7a2fd182e18137b826c6f8d56d0f6ada69
fhir/PractitionerRole.ndjson.gz,PractitionerRole,3464,704,2760,0,4254358,416002,cb12a0d8ee2a7e3a8d3d698c2745706d2bb9121602b3be3ffb48403c74084b02
fhir/Procedure.ndjson.gz,Procedure,77962,77962,0,0,58644298,3416111,f5c6f34d64327fc610da2594eaf2cebc9ea9443bb5a759a2c18b9bd801d4e82b
fhir/Provenance.ndjson.gz,Provenance,1000,1000,0,0,54555548,12606690,b9383a6ccb21ee65062115a03d9ea2710b265c5edc075c2bcc308bd697a92c59
fhir/SupplyDelivery.ndjson.gz,SupplyDelivery,7930,7930,0,0,4680146,190868,b17fef8dfc6d73d151a3d3be2162f03ef1cedfd759112ab669d87bd25ce9bcc0
fhir/parameters.json.gz,Parameters,1,0,0,0,3567,446,6f20b6dcdd862583407729f8dcf76e2daa2e1e4fef73f10f30bc42d7c56c1fe5
