condition_id,source,condition,owner,due_point,evidence,verifier,status,escalation_trigger
CP1-C01,Checkpoint 01,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
CP1-C02,Checkpoint 01,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
CP1-C03,Checkpoint 01,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
CP1-C04,Checkpoint 01,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
CP1-C05,Checkpoint 01,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
CP1-C06,Checkpoint 01,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
CP1-C07,Checkpoint 01,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
CP1-C08,Checkpoint 01,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
CP1-C09,Checkpoint 01,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
CP1-C10,Checkpoint 01,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
CP1-C11,Checkpoint 01,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
CP1-C12,Checkpoint 01,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
CP2-C01,Checkpoint 02,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
CP2-C02,Checkpoint 02,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
CP2-C03,Checkpoint 02,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
CP2-C04,Checkpoint 02,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
CP2-C05,Checkpoint 02,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
CP2-C06,Checkpoint 02,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
CP2-C07,Checkpoint 02,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
CP2-C08,Checkpoint 02,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
CP2-C09,Checkpoint 02,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
CP2-C10,Checkpoint 02,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
CP2-C11,Checkpoint 02,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
CP2-C12,Checkpoint 02,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
CP2-C13,Checkpoint 02,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
CP2-C14,Checkpoint 02,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
