year,stateabbr,statedesc,locationname,locationid,measureid,measure,data_value_type,datavaluetypeid,data_value,low_confidence_limit,high_confidence_limit,totalpopulation,totalpop18plus,data_value_footnote_symbol,data_value_footnote
2022,AL,Alabama,Autauga,01001,DIABETES,Diagnosed diabetes among adults,Age-adjusted prevalence,AgeAdjPrv,11.3,9.8,12.9,59759,45878,,
2022,AL,Alabama,Autauga,01001,DIABETES,Diagnosed diabetes among adults,Crude prevalence,CrdPrv,13.0,11.3,14.9,59759,45878,,
2022,AL,Alabama,Baldwin,01003,DIABETES,Diagnosed diabetes among adults,Age-adjusted prevalence,AgeAdjPrv,10.2,8.9,11.7,246435,195167,,
2022,AL,Alabama,Baldwin,01003,DIABETES,Diagnosed diabetes among adults,Crude prevalence,CrdPrv,13.1,11.4,14.9,246435,195167,,
2022,AL,Alabama,Barbour,01005,DIABETES,Diagnosed diabetes among adults,Age-adjusted prevalence,AgeAdjPrv,16.0,14.0,18.1,24706,19675,,
2022,AL,Alabama,Barbour,01005,DIABETES,Diagnosed diabetes among adults,Crude prevalence,CrdPrv,18.9,16.6,21.3,24706,19675,,
2022,AL,Alabama,Bibb,01007,DIABETES,Diagnosed diabetes among adults,Age-adjusted prevalence,AgeAdjPrv,13.3,11.6,15.1,22005,17660,,
2022,AL,Alabama,Bibb,01007,DIABETES,Diagnosed diabetes among adults,Crude prevalence,CrdPrv,15.1,13.2,17.2,22005,17660,,
2022,AL,Alabama,Blount,01009,DIABETES,Diagnosed diabetes among adults,Age-adjusted prevalence,AgeAdjPrv,11.6,10.0,13.2,59512,46000,,
2022,AL,Alabama,Blount,01009,DIABETES,Diagnosed diabetes among adults,Crude prevalence,CrdPrv,14.0,12.1,16.0,59512,46000,,
2022,AL,Alabama,Bullock,01011,DIABETES,Diagnosed diabetes among adults,Age-adjusted prevalence,AgeAdjPrv,19.9,17.6,22.4,10202,8049,,
2022,AL,Alabama,Bullock,01011,DIABETES,Diagnosed diabetes among adults,Crude prevalence,CrdPrv,22.4,19.8,25.1,10202,8049,,
2022,AL,Alabama,Butler,01013,DIABETES,Diagnosed diabetes among adults,Age-adjusted prevalence,AgeAdjPrv,14.8,12.9,16.8,18650,14473,,
2022,AL,Alabama,Butler,01013,DIABETES,Diagnosed diabetes among adults,Crude prevalence,CrdPrv,18.2,16.0,20.6,18650,14473,,
2022,AL,Alabama,Calhoun,01015,DIABETES,Diagnosed diabetes among adults,Age-adjusted prevalence,AgeAdjPrv,12.7,11.1,14.5,115788,91336,,
2022,AL,Alabama,Calhoun,01015,DIABETES,Diagnosed diabetes among adults,Crude prevalence,CrdPrv,14.5,12.6,16.5,115788,91336,,
2022,AL,Alabama,Chambers,01017,DIABETES,Diagnosed diabetes among adults,Age-adjusted prevalence,AgeAdjPrv,14.6,12.7,16.6,34088,27025,,
2022,AL,Alabama,Chambers,01017,DIABETES,Diagnosed diabetes among adults,Crude prevalence,CrdPrv,18.2,15.9,20.5,34088,27025,,
2022,AL,Alabama,Cherokee,01019,DIABETES,Diagnosed diabetes among adults,Age-adjusted prevalence,AgeAdjPrv,11.3,9.7,13.0,25302,20586,,
2022,AL,Alabama,Cherokee,01019,DIABETES,Diagnosed diabetes among adults,Crude prevalence,CrdPrv,15.2,13.2,17.4,25302,20586,,
2022,AL,Alabama,Chilton,01021,DIABETES,Diagnosed diabetes among adults,Age-adjusted prevalence,AgeAdjPrv,11.6,10.1,13.2,45884,35069,,
2022,AL,Alabama,Chilton,01021,DIABETES,Diagnosed diabetes among adults,Crude prevalence,CrdPrv,13.7,12.0,15.6,45884,35069,,
2022,AL,Alabama,Choctaw,01023,DIABETES,Diagnosed diabetes among adults,Age-adjusted prevalence,AgeAdjPrv,15.1,12.9,17.0,12439,9977,,
2022,AL,Alabama,Choctaw,01023,DIABETES,Diagnosed diabetes among adults,Crude prevalence,CrdPrv,20.3,17.6,22.7,12439,9977,,
2022,AL,Alabama,Clarke,01025,DIABETES,Diagnosed diabetes among adults,Age-adjusted prevalence,AgeAdjPrv,14.9,13.0,16.9,22515,17657,,
2022,AL,Alabama,Clarke,01025,DIABETES,Diagnosed diabetes among adults,Crude prevalence,CrdPrv,18.5,16.3,20.9,22515,17657,,
2022,AL,Alabama,Clay,01027,DIABETES,Diagnosed diabetes among adults,Age-adjusted prevalence,AgeAdjPrv,13.1,11.3,14.9,14198,11235,,
2022,AL,Alabama,Clay,01027,DIABETES,Diagnosed diabetes among adults,Crude prevalence,CrdPrv,16.6,14.5,18.9,14198,11235,,
2022,AL,Alabama,Cleburne,01029,DIABETES,Diagnosed diabetes among adults,Age-adjusted prevalence,AgeAdjPrv,12.2,10.6,14.0,15346,11832,,
2022,AL,Alabama,Cleburne,01029,DIABETES,Diagnosed diabetes among adults,Crude prevalence,CrdPrv,15.4,13.4,17.5,15346,11832,,
2022,AL,Alabama,Coffee,01031,DIABETES,Diagnosed diabetes among adults,Age-adjusted prevalence,AgeAdjPrv,11.8,10.2,13.3,54805,41812,,
2022,AL,Alabama,Coffee,01031,DIABETES,Diagnosed diabetes among adults,Crude prevalence,CrdPrv,13.6,11.9,15.4,54805,41812,,
2022,AL,Alabama,Colbert,01033,DIABETES,Diagnosed diabetes among adults,Age-adjusted prevalence,AgeAdjPrv,12.0,10.3,13.9,58033,45809,,
2022,AL,Alabama,Colbert,01033,DIABETES,Diagnosed diabetes among adults,Crude prevalence,CrdPrv,14.6,12.5,16.7,58033,45809,,
2022,AL,Alabama,Conecuh,01035,DIABETES,Diagnosed diabetes among adults,Age-adjusted prevalence,AgeAdjPrv,15.5,13.6,17.6,11206,8943,,
2022,AL,Alabama,Conecuh,01035,DIABETES,Diagnosed diabetes among adults,Crude prevalence,CrdPrv,20.4,18.0,23.0,11206,8943,,
2022,AL,Alabama,Coosa,01037,DIABETES,Diagnosed diabetes among adults,Age-adjusted prevalence,AgeAdjPrv,13.2,11.6,15.0,10166,8479,,
2022,AL,Alabama,Coosa,01037,DIABETES,Diagnosed diabetes among adults,Crude prevalence,CrdPrv,18.1,16.0,20.4,10166,8479,,
2022,AL,Alabama,Covington,01039,DIABETES,Diagnosed diabetes among adults,Age-adjusted prevalence,AgeAdjPrv,11.7,10.1,13.4,37602,29340,,
2022,AL,Alabama,Covington,01039,DIABETES,Diagnosed diabetes among adults,Crude prevalence,CrdPrv,14.6,12.7,16.6,37602,29340,,
2022,AL,Alabama,Crenshaw,01041,DIABETES,Diagnosed diabetes among adults,Age-adjusted prevalence,AgeAdjPrv,12.9,11.2,14.7,13025,10003,,
2022,AL,Alabama,Crenshaw,01041,DIABETES,Diagnosed diabetes among adults,Crude prevalence,CrdPrv,15.8,13.8,18.0,13025,10003,,
2022,AL,Alabama,Cullman,01043,DIABETES,Diagnosed diabetes among adults,Age-adjusted prevalence,AgeAdjPrv,11.6,10.0,13.3,90665,70581,,
2022,AL,Alabama,Cullman,01043,DIABETES,Diagnosed diabetes among adults,Crude prevalence,CrdPrv,14.1,12.2,16.1,90665,70581,,
2022,AL,Alabama,Dale,01045,DIABETES,Diagnosed diabetes among adults,Age-adjusted prevalence,AgeAdjPrv,13.5,11.8,15.4,49544,38039,,
2022,AL,Alabama,Dale,01045,DIABETES,Diagnosed diabetes among adults,Crude prevalence,CrdPrv,15.6,13.6,17.7,49544,38039,,
2022,AL,Alabama,Dallas,01047,DIABETES,Diagnosed diabetes among adults,Age-adjusted prevalence,AgeAdjPrv,17.5,15.4,19.8,36767,28171,,
2022,AL,Alabama,Dallas,01047,DIABETES,Diagnosed diabetes among adults,Crude prevalence,CrdPrv,21.4,18.9,24.0,36767,28171,,
