county_fips,county_name,state_abbr,state_name,measure_id,measure_name,measure_label,measure_year,adult_population,crude_prevalence_pct,crude_low_ci_pct,crude_high_ci_pct,age_adjusted_prevalence_pct,age_adjusted_low_ci_pct,age_adjusted_high_ci_pct,national_age_adjusted_pct,national_age_adjusted_low_ci_pct,national_age_adjusted_high_ci_pct,difference_from_national_pct_points,rank_descending_point_estimate,counties_compared,point_estimate_above_national,measures_above_national,largest_gap_measure_id,largest_gap_pct_points,profile_order,source_footnote
37155,Robeson,NC,North Carolina,CSMOKING,Current cigarette smoking among adults,Current smoking,2022,87156,24.2,21.7,26.9,25.0,22.4,27.6,13.2,13.0,13.4,11.8,1,100,yes,5,CSMOKING,11.8,1,
37155,Robeson,NC,North Carolina,DIABETES,Diagnosed diabetes among adults,Diagnosed diabetes,2022,87156,17.4,15.4,19.6,15.6,13.7,17.5,10.4,10.2,10.6,5.2,1,100,yes,5,CSMOKING,11.8,1,
37155,Robeson,NC,North Carolina,GHLTH,Fair or poor self-rated health status among adults,Fair or poor health,2022,87156,28.2,25.7,30.9,27.2,24.7,29.8,17.0,16.8,17.3,10.2,1,100,yes,5,CSMOKING,11.8,1,
37155,Robeson,NC,North Carolina,LPA,No leisure-time physical activity among adults,No leisure activity,2022,87156,33.9,30.0,38.1,33.1,29.3,37.3,23.0,22.7,23.3,10.1,1,100,yes,5,CSMOKING,11.8,1,
37155,Robeson,NC,North Carolina,OBESITY,Obesity among adults,Obesity,2022,87156,41.5,36.2,47.0,41.9,36.7,47.4,33.4,33.1,33.7,8.5,6,100,yes,5,CSMOKING,11.8,1,
37015,Bertie,NC,North Carolina,CSMOKING,Current cigarette smoking among adults,Current smoking,2022,14342,19.6,17.3,22.3,21.0,18.6,23.8,13.2,13.0,13.4,7.8,8,100,yes,5,OBESITY,10.1,2,
37015,Bertie,NC,North Carolina,DIABETES,Diagnosed diabetes among adults,Diagnosed diabetes,2022,14342,19.0,16.7,21.7,14.9,13.1,17.1,10.4,10.2,10.6,4.5,3,100,yes,5,OBESITY,10.1,2,
37015,Bertie,NC,North Carolina,GHLTH,Fair or poor self-rated health status among adults,Fair or poor health,2022,14342,27.6,24.9,30.5,25.4,22.8,28.2,17.0,16.8,17.3,8.4,2,100,yes,5,OBESITY,10.1,2,
37015,Bertie,NC,North Carolina,LPA,No leisure-time physical activity among adults,No leisure activity,2022,14342,32.1,27.4,37.1,29.9,25.4,34.8,23.0,22.7,23.3,6.9,9,100,yes,5,OBESITY,10.1,2,
37015,Bertie,NC,North Carolina,OBESITY,Obesity among adults,Obesity,2022,14342,43.2,34.9,51.7,43.5,35.2,52.0,33.4,33.1,33.7,10.1,1,100,yes,5,OBESITY,10.1,2,
37091,Hertford,NC,North Carolina,CSMOKING,Current cigarette smoking among adults,Current smoking,2022,17171,19.5,17.0,22.1,20.7,18.1,23.6,13.2,13.0,13.4,7.5,10,100,yes,5,OBESITY,10.0,3,
37091,Hertford,NC,North Carolina,DIABETES,Diagnosed diabetes among adults,Diagnosed diabetes,2022,17171,18.1,15.8,20.5,15.0,13.1,17.2,10.4,10.2,10.6,4.6,2,100,yes,5,OBESITY,10.0,3,
37091,Hertford,NC,North Carolina,GHLTH,Fair or poor self-rated health status among adults,Fair or poor health,2022,17171,27.0,24.2,29.9,25.2,22.5,28.0,17.0,16.8,17.3,8.2,5,100,yes,5,OBESITY,10.0,3,
37091,Hertford,NC,North Carolina,LPA,No leisure-time physical activity among adults,No leisure activity,2022,17171,32.0,27.1,37.2,30.6,25.8,35.7,23.0,22.7,23.3,7.6,3,100,yes,5,OBESITY,10.0,3,
37091,Hertford,NC,North Carolina,OBESITY,Obesity among adults,Obesity,2022,17171,42.5,34.0,51.4,43.4,34.8,52.3,33.4,33.1,33.7,10.0,2,100,yes,5,OBESITY,10.0,3,
37007,Anson,NC,North Carolina,CSMOKING,Current cigarette smoking among adults,Current smoking,2022,17846,19.4,17.0,21.9,20.1,17.6,22.6,13.2,13.0,13.4,6.9,13,100,yes,5,OBESITY,9.7,4,
37007,Anson,NC,North Carolina,DIABETES,Diagnosed diabetes among adults,Diagnosed diabetes,2022,17846,16.4,14.3,18.5,13.9,12.1,15.9,10.4,10.2,10.6,3.5,8,100,yes,5,OBESITY,9.7,4,
37007,Anson,NC,North Carolina,GHLTH,Fair or poor self-rated health status among adults,Fair or poor health,2022,17846,24.8,22.2,27.4,23.4,20.9,25.9,17.0,16.8,17.3,6.4,12,100,yes,5,OBESITY,9.7,4,
