measure_id,type,name,numerator,denominator,exclusions,timing,owner,source,stratification,missingness_rule,interpretation,failure_response
M01,implementation,workflow availability,eligible discharges with workflow available,all eligible discharges,documented rule exclusions,weekly,implementation owner,prospective workflow record,none,missing status stays missing,availability is not use or benefit,review staffing and access capacity
M02,process,universal offer,eligible discharges with offer recorded,all eligible discharges,none,weekly,workflow owner,prospective offer record,prespecified groups if supported,no record is not an offer,offer measures reach not preference,review missed offers
M03,process,access preference recorded,people with language channel format proxy and contact choices recorded,people offered participation,declines remain in denominator,weekly,access owner,prospective preference record,prespecified groups if supported,do not infer missing preference,documentation is not access quality,repair collection process
M04,process,understanding check,people completing or declining the check,people receiving discharge information,clinical exemption documented,weekly,discharge owner,prospective workflow record,prespecified groups if supported,unable and missing remain separate,completion is not understanding,review workflow and burden
M05,process,safe question routing,unresolved questions with approved route documented,all unresolved questions,none,weekly,clinical owner,prospective escalation record,none,missing route is a safety failure,routing is not resolution,stop unsafe route and investigate
M06,response,feedback return,completed feedback responses,all consented follow-up opportunities,withdrawn consent excluded with count,weekly,feedback owner,prospective response record,channel and supported groups,total nonresponse stays visible,response is not representativeness,review coverage and alternatives
M07,outcome,Q22 yes,item-answering yes responses,item-answering yes plus no,not applicable under item rule,reporting cycle,survey lead,unchanged accepted item,separate supported groups,item missingness reported separately,teaching result is not official adjusted HCAHPS,review measure and response process
M08,outcome,Q23 yes,item-answering yes responses,item-answering yes plus no,not applicable under item rule,reporting cycle,survey lead,unchanged accepted item,separate supported groups,item missingness reported separately,teaching result is not official adjusted HCAHPS,review measure and response process
M09,access,operational alternatives,offers with requested channel language and format available,offers requesting an alternative,no request excluded with count,weekly,access owner,prospective service record,prespecified groups if supported,unavailable is not missing,availability is not acceptability,repair or stop unavailable pathway
M10,balancing,reported burden,respondents reporting burden above agreed limit,people answering burden item,item refusal remains visible,weekly,patient-experience owner,prospective unvalidated burden item,channel and supported groups,item missingness reported,local item is not a validated scale,revise workflow with partners
M11,balancing,unwanted contact,contacts marked unwanted or against preference,all follow-up contacts,none,weekly,privacy owner,prospective contact log,channel and supported groups,missing preference is a process failure,one event requires review,stop contact and investigate
M12,accountability,results returned on time,review cycles with dated patient-facing response,all completed review cycles,none,monthly,accountability owner,feedback return log,none,missing date fails measure,return may include no change with reason,assign owner and correction date
M13,safety,failed escalation,questions with incorrect delayed or missing safe route,all questions requiring escalation,none,immediate,clinical safety owner,incident record,none,missing resolution remains open,not an outcome attribution,stop unsafe process and review
M14,balancing,staff time,minutes spent on workflow steps,completed workflow opportunities,none,weekly,operations owner,time sample,role and channel,missing sample count reported,time does not measure patient value,adjust staffing or workflow
