hazard_id,origin,hazard,cause,consequence,detection,control,owner,escalation,fallback,stop_rule,restart_rule,retirement_trigger,evidence_status
H01,Module 05 FM01 / M05-F01,missing input,BMI prefetch absent,evaluation cannot proceed from complete evidence,required-field branch,stop evaluation and show unavailable state,data steward,notify the governance council and named owner,show unavailable state and preserve the trace,stop the affected evaluation when detected or when detection evidence is unavailable,"owner verifies correction, reconciliation, and a passing repeat fixture",recurrent unresolved incident or loss of a dependable control,"seeded synthetic failure, not an observed clinical incident"
H02,Module 05 FM02 / M05-F02,stale input,BMI date outside teaching window,an obsolete value could be treated as current,date comparison,stop evaluation and show stale state,data steward,notify the governance council and named owner,show unavailable state and preserve the trace,stop the affected evaluation when detected or when detection evidence is unavailable,"owner verifies correction, reconciliation, and a passing repeat fixture",recurrent unresolved incident or loss of a dependable control,"seeded synthetic failure, not an observed clinical incident"
H03,Module 05 FM03 / M05-F03,inconsistent input,negative BMI fixture,an invalid value could produce a misleading result,range check,stop evaluation and show inconsistent state,data steward,notify the governance council and named owner,show unavailable state and preserve the trace,stop the affected evaluation when detected or when detection evidence is unavailable,"owner verifies correction, reconciliation, and a passing repeat fixture",recurrent unresolved incident or loss of a dependable control,"seeded synthetic failure, not an observed clinical incident"
H04,Module 05 FM04 / M05-F04,delayed input,input delay above teaching budget,a result could arrive after it is useful,latency branch,stop evaluation and show delayed state,clinical informatics owner,notify the governance council and named owner,show unavailable state and preserve the trace,stop the affected evaluation when detected or when detection evidence is unavailable,"owner verifies correction, reconciliation, and a passing repeat fixture",recurrent unresolved incident or loss of a dependable control,"seeded synthetic failure, not an observed clinical incident"
H05,Module 05 FM05 / M05-F05,duplicate request,reused hookInstance,duplicate work and burden could be hidden,request identity ledger,suppress duplicate and retain trace,clinical informatics owner,notify the governance council and named owner,show unavailable state and preserve the trace,stop the affected evaluation when detected or when detection evidence is unavailable,"owner verifies correction, reconciliation, and a passing repeat fixture",recurrent unresolved incident or loss of a dependable control,"seeded synthetic failure, not an observed clinical incident"
H06,Module 05 FM06 / M05-F06,terminology mismatch,unexpected BMI code,the wrong clinical meaning could be assigned,system and code check,stop evaluation and refer terminology,terminology steward,notify the governance council and named owner,show unavailable state and preserve the trace,stop the affected evaluation when detected or when detection evidence is unavailable,"owner verifies correction, reconciliation, and a passing repeat fixture",recurrent unresolved incident or loss of a dependable control,"seeded synthetic failure, not an observed clinical incident"
H07,Module 05 FM07 / M05-F07,hook version mismatch,unsupported hook version,the service state could be misunderstood or acted on incorrectly,version check,reject request visibly,clinical informatics owner,notify the governance council and named owner,show unavailable state and preserve the trace,stop the affected evaluation when detected or when detection evidence is unavailable,"owner verifies correction, reconciliation, and a passing repeat fixture",recurrent unresolved incident or loss of a dependable control,"seeded synthetic failure, not an observed clinical incident"
H08,Module 05 FM08 / M05-F08,unit mismatch,unexpected BMI unit,a value could be interpreted on the wrong scale,UCUM system and code check,stop evaluation and refer unit mapping,data steward,notify the governance council and named owner,show unavailable state and preserve the trace,stop the affected evaluation when detected or when detection evidence is unavailable,"owner verifies correction, reconciliation, and a passing repeat fixture",recurrent unresolved incident or loss of a dependable control,"seeded synthetic failure, not an observed clinical incident"
H09,Module 05 FM09 / M05-F09,unsupported service,unexpected service ID,the service state could be misunderstood or acted on incorrectly,service allowlist,reject request visibly,governance owner,notify the governance council and named owner,show unavailable state and preserve the trace,stop the affected evaluation when detected or when detection evidence is unavailable,"owner verifies correction, reconciliation, and a passing repeat fixture",recurrent unresolved incident or loss of a dependable control,"seeded synthetic failure, not an observed clinical incident"
H10,Module 05 FM10 / M05-F10,missing score,prediction prefetch absent,the service state could be misunderstood or acted on incorrectly,required-field branch,stop evaluation and show unavailable score,model steward,notify the governance council and named owner,show unavailable state and preserve the trace,stop the affected evaluation when detected or when detection evidence is unavailable,"owner verifies correction, reconciliation, and a passing repeat fixture",recurrent unresolved incident or loss of a dependable control,"seeded synthetic failure, not an observed clinical incident"
H11,Module 05 FM11 / M05-F11,known diabetes suppression,active synthetic condition,the service state could be misunderstood or acted on incorrectly,suppression branch,empty card and trace reason,clinical owner,notify the governance council and named owner,show unavailable state and preserve the trace,stop the affected evaluation when detected or when detection evidence is unavailable,"owner verifies correction, reconciliation, and a passing repeat fixture",recurrent unresolved incident or loss of a dependable control,"seeded synthetic failure, not an observed clinical incident"
H12,Module 05 FM12 / M05-F12,recent HbA1c suppression,recent synthetic observation,the service state could be misunderstood or acted on incorrectly,suppression branch,empty card and trace reason,clinical owner,notify the governance council and named owner,show unavailable state and preserve the trace,stop the affected evaluation when detected or when detection evidence is unavailable,"owner verifies correction, reconciliation, and a passing repeat fixture",recurrent unresolved incident or loss of a dependable control,"seeded synthetic failure, not an observed clinical incident"
H13,Module 05 FM13 / M05-F13,service unavailable,seeded service flag,the service state could be misunderstood or acted on incorrectly,availability branch,503 result trace and notice,service owner,notify the governance council and named owner,show unavailable state and preserve the trace,stop the affected evaluation when detected or when detection evidence is unavailable,"owner verifies correction, reconciliation, and a passing repeat fixture",recurrent unresolved incident or loss of a dependable control,"seeded synthetic failure, not an observed clinical incident"
H14,Module 05 FM14 / M05-F14,response timeout,seeded response delay,the service state could be misunderstood or acted on incorrectly,latency branch,504 result trace and notice,service owner,notify the governance council and named owner,show unavailable state and preserve the trace,stop the affected evaluation when detected or when detection evidence is unavailable,"owner verifies correction, reconciliation, and a passing repeat fixture",recurrent unresolved incident or loss of a dependable control,"seeded synthetic failure, not an observed clinical incident"
H15,Module 05 FM15 / M05-F15,silent failure,drop after receipt,a received request could disappear without a response or notice,independent four-ledger reconciliation,escalate reconcile and stop,patient-safety owner,notify the governance council and named owner,show unavailable state and preserve the trace,stop the affected evaluation when detected or when detection evidence is unavailable,"owner verifies correction, reconciliation, and a passing repeat fixture",recurrent unresolved incident or loss of a dependable control,"seeded synthetic failure, not an observed clinical incident"
H16,Module 05 FM16 / M05-F16,accessibility defect,summary removed,the result could be unusable for some people,card structure audit,block malformed card,accessibility owner,notify the governance council and named owner,show unavailable state and preserve the trace,stop the affected evaluation when detected or when detection evidence is unavailable,"owner verifies correction, reconciliation, and a passing repeat fixture",recurrent unresolved incident or loss of a dependable control,"seeded synthetic failure, not an observed clinical incident"
H17,Module 05 FM17 / M05-F17,model version mismatch,unexpected model version,the service state could be misunderstood or acted on incorrectly,version check,stop evaluation and show mismatch,model steward,notify the governance council and named owner,show unavailable state and preserve the trace,stop the affected evaluation when detected or when detection evidence is unavailable,"owner verifies correction, reconciliation, and a passing repeat fixture",recurrent unresolved incident or loss of a dependable control,"seeded synthetic failure, not an observed clinical incident"
H18,Module 06 safety case,outcome unavailable,follow-up outcome not observable,calibration and utility cannot be evaluated,outcome completeness audit,report unavailable and do not infer performance,evaluation steward,notify the governance council and named owner,report unavailable and retain the last accepted nonproduction state,stop the affected evaluation when the trigger is met or the measure is unavailable,owner documents recovery evidence and governance approves restart,control cannot be restored or repeated incidents exceed the review rule,"prospective teaching hazard, not an observed clinical incident"
H19,Module 06 safety case,calibration drift,predicted and observed rates separate,burden or missed-case expectations can change,prespecified calibration review,pause interpretation and investigate data and case mix,model steward,notify the governance council and named owner,report unavailable and retain the last accepted nonproduction state,stop the affected evaluation when the trigger is met or the measure is unavailable,owner documents recovery evidence and governance approves restart,control cannot be restored or repeated incidents exceed the review rule,"prospective teaching hazard, not an observed clinical incident"
