tract_fips,synthetic_event_count,adult_denominator_estimate,adult_denominator_moe90,rate_multiplier,crude_rate_per_100k,crude_rate_low_95,crude_rate_high_95,positive_denominator_age_bands,minimum_age_band_denominator,direct_standardized_rate_per_100k,direct_rate_low_95,direct_rate_high_95,direct_support_state,guided_indirect_required,claim_limit
25001010100,200,3596,516.078,100000,5561.7352614,4858.99423221,6359.31811405,5,417,4654.13828729,4010.39677647,5297.87979811,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001010206,307,3772,479.509,100000,8138.91834571,7308.31937934,9054.69441663,5,427,6553.40430557,5751.49433524,7355.31427589,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001010208,93,1529,348.435,100000,6082.40680183,4990.92291419,7394.01472748,5,77,4227.38615752,2926.5761387,5528.19617635,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001010304,201,2345,372.108,100000,8571.42857143,7505.04754758,9773.31993425,5,167,5890.72398452,4716.56340878,7064.88456026,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001010306,152,2739,371.376,100000,5549.47060971,4752.67398939,6470.77670736,5,356,4168.90189756,3465.79707889,4872.00671623,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001010400,202,2876,469.001,100000,7023.64394993,6145.89019514,8016.05117047,5,302,5129.74532382,4306.82633331,5952.66431432,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001010500,240,2859,369.111,100000,8394.54354669,7433.03716149,9467.70518769,5,202,5766.31761507,4716.88896792,6815.74626222,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001010600,219,3163,388.669,100000,6923.8065128,6090.3648134,7861.75323754,5,247,5235.7823238,4378.32862847,6093.23601913,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001010700,202,2926,361.909,100000,6903.6226931,6040.41581685,7879.84111694,5,281,4604.00083217,3838.61264991,5369.38901442,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001010800,309,4193,525.323,100000,7369.42523253,6617.02174306,8199.87007719,5,471,5637.1570148,4905.64154241,6368.67248719,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001010900,265,4861,657.663,100000,5451.55317836,4847.79000482,6125.6705558,5,731,3939.32034767,3444.53668185,4434.10401348,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001011002,299,3788,435.061,100000,7893.34741288,7076.7246,8795.28548683,5,560,6348.41305816,5596.87660328,7099.94951304,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001011100,302,4575,638.609,100000,6601.09289617,5917.38268599,7357.62288665,5,528,5569.81889639,4867.69485101,6271.94294178,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001011200,266,3640,458.936,100000,7307.69230769,6506.45628239,8198.9436335,5,377,5629.16931553,4863.51881689,6394.81981417,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001011300,172,2438,393.588,100000,7054.9630845,6104.6154081,8140.43140132,5,317,5398.30841336,4471.00360288,6325.61322384,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001011400,244,2960,408.923,100000,8243.24324324,7305.76449153,9288.96453343,5,300,6099.87194665,5139.00420438,7060.73968893,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001011500,249,3648,453.526,100000,6825.65789474,6051.89082905,7690.25719352,5,454,5975.81269552,5227.46413891,6724.16125212,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001011600,157,2745,381.795,100000,5719.48998179,4911.08222551,6651.66024553,5,353,4987.18375421,4174.87950925,5799.48799917,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001011700,106,1736,284.972,100000,6105.99078341,5073.64178405,7332.17012062,5,154,3922.0534752,2995.55831228,4848.54863813,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001011801,150,2331,310.537,100000,6435.00643501,5508.81315144,7504.55260292,5,156,4362.9859891,3312.96822744,5413.00375076,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001011802,281,4156,431.876,100000,6761.30895091,6037.1965864,7565.27996041,5,630,5712.28616161,5038.12245325,6386.44986996,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001012001,368,5696,712.926,100000,6460.6741573,5851.1495936,7128.8861524,5,804,5318.27018462,4722.71737689,5913.82299234,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001012002,157,2646,348.807,100000,5933.48450491,5095.58236721,6899.1525541,5,298,4940.90320618,4113.47225169,5768.33416068,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001012101,208,4185,620.21,100000,4970.13142174,4351.99742868,5670.85645462,5,533,4430.2555007,3836.23971048,5024.27129091,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001012102,226,2766,374.003,100000,8170.64352856,7206.91542937,9250.3968608,5,383,6300.3054372,5322.61331204,7277.99756236,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001012200,265,4246,620.813,100000,6241.16815827,5552.36872526,7009.07536609,5,373,5309.80065037,4658.1457294,5961.45557134,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001012502,139,3051,454.127,100000,4555.88331695,3871.36447582,5354.69398318,5,295,4598.27120375,3829.35087432,5367.19153318,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001012601,136,2553,402.929,100000,5327.06619663,4521.13144571,6267.23628312,5,265,4645.81881369,3866.31188968,5425.32573769,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001012602,183,4057,631.425,100000,4510.72220853,3913.98226206,5193.52569094,5,224,4601.23329609,3934.63361786,5267.83297431,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001012700,210,4186,668.157,100000,5016.72240803,4395.70811363,5720.22259608,5,378,4241.3261981,3596.46591746,4886.18647875,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
