condition_id,scenario_id,scenario_name,paired_replications,median_median_wait_improvement,q10_median_wait_improvement,q90_median_wait_improvement,median_p90_wait_improvement,q10_p90_wait_improvement,q90_p90_wait_improvement,median_left_before_seen_improvement_pp,q10_left_before_seen_improvement_pp,q90_left_before_seen_improvement_pp,median_throughput_change_percent,q10_throughput_change_percent,q90_throughput_change_percent,median_language_gap_worsening,q10_language_gap_worsening,q90_language_gap_worsening,median_utilization_change,q10_utilization_change,q90_utilization_change,median_overtime_change,q10_overtime_change,q90_overtime_change,median_flex_hours,q10_flex_hours,q90_flex_hours,median_trigger_count,q10_trigger_count,q90_trigger_count,synthetic_flag
C01,S01,Flex clinician coverage,200,1.297503,0.772522,2.077085,17.170748,9.036005,29.207033,2.008492,1.243113,2.765146,2.209945,1.356337,3.087743,0.244346,-1.788509,1.815204,-3.206124,-3.685562,-2.622861,-0.805395,-1.812324,0.675666,40.000000,40.000000,40.000000,5.000000,5.000000,5.000000,1
C01,S02,Fast-track activation,200,-3.010806,-5.020816,-1.323859,-22.363815,-43.738517,-10.242258,4.953323,3.246727,6.332638,5.482156,3.488162,7.124536,-0.231294,-2.691869,2.691190,1.207044,0.521536,1.987980,-0.012310,-1.424986,1.415437,0.000000,0.000000,0.000000,14.000000,10.900000,16.000000,1
C01,S03,Combined bounded rule,200,0.106618,-0.287555,0.982819,8.582088,1.948800,18.722055,2.313125,1.251252,3.469851,2.562596,1.363700,3.905480,0.121918,-1.232610,1.462098,-1.238687,-2.044211,-0.627093,0.208969,-0.744916,1.243590,19.711159,13.523382,27.295050,4.000000,3.000000,5.000000,1
C02,S01,Flex clinician coverage,200,1.958703,1.000000,2.983823,21.244986,10.491887,38.502679,2.518000,1.731305,3.355051,2.874244,1.942004,3.867480,0.013189,-2.351451,1.691373,-2.972837,-3.574036,-2.436573,-0.627507,-1.712708,0.569994,40.000000,40.000000,40.000000,5.000000,5.000000,5.000000,1
C02,S02,Fast-track activation,200,-5.803341,-10.782775,-3.753211,-41.617987,-88.155552,-16.616566,6.611140,5.022194,8.518862,7.540650,5.617265,9.868219,-0.345440,-3.810373,4.456860,1.905308,1.119828,2.887743,0.126756,-1.716412,1.807678,0.000000,0.000000,0.000000,16.000000,14.000000,18.000000,1
C02,S03,Combined bounded rule,200,0.316383,-0.291620,1.037728,14.547388,4.509372,28.207589,3.163164,1.996483,4.551880,3.590432,2.232735,5.288233,0.031209,-1.746384,1.611160,-1.370657,-2.102987,-0.666683,0.262472,-0.673012,1.344352,25.220413,15.791756,31.367324,4.000000,3.000000,5.000000,1
C03,S01,Flex clinician coverage,200,2.639145,1.520966,4.044312,33.440915,15.967041,61.060562,3.084282,2.135198,4.016106,3.647418,2.502816,4.867367,0.242009,-3.606943,2.275643,-2.796846,-3.448230,-1.964051,-0.663408,-2.009324,0.824873,40.000000,40.000000,40.000000,5.000000,5.000000,5.000000,1
C03,S02,Fast-track activation,200,-17.755788,-32.438969,-9.536427,-114.824049,-252.874366,-50.517131,9.470414,7.625592,11.258333,11.178623,8.796675,13.683148,-1.101910,-8.194493,5.585358,3.101056,2.013803,4.394174,-0.236300,-2.220932,1.734013,0.000000,0.000000,0.000000,20.000000,18.000000,21.000000,1
C03,S03,Combined bounded rule,200,0.512094,-0.577954,1.577707,21.232373,10.265561,37.766399,4.239856,2.991371,5.794956,5.019095,3.500866,7.025115,0.015994,-2.241020,1.479784,-1.325286,-2.147486,-0.673107,0.372356,-0.834538,1.454384,29.693627,22.982724,35.616602,5.000000,4.000000,5.000000,1
C04,S01,Flex clinician coverage,200,7.327178,4.146635,17.242100,64.775556,30.743997,148.061049,3.968288,2.950412,4.747533,5.155967,3.721434,6.304842,0.127291,-7.199014,5.874899,-1.983855,-2.869318,-1.235700,-0.892499,-2.863160,1.366757,40.000000,40.000000,40.000000,5.000000,5.000000,5.000000,1
C04,S02,Fast-track activation,200,-86.671644,-148.832257,-58.450094,-1201.952589,-2105.611697,-483.356709,14.094172,11.521811,16.968054,18.320059,14.491021,22.782436,7.783331,-57.953346,800.261806,3.472316,1.611736,5.301256,-1.116967,-3.955882,1.289252,0.000000,0.000000,0.000000,21.000000,21.000000,21.000000,1
C04,S03,Combined bounded rule,200,1.344437,-1.227093,5.604465,35.419349,19.005816,83.323070,5.916118,4.556259,6.983186,7.620334,5.766171,9.314633,-0.238254,-4.774196,4.396183,-0.823447,-1.589649,-0.217944,0.014115,-1.796461,1.725473,35.561318,29.762706,38.233619,5.000000,5.000000,5.000000,1
C05,S01,Flex clinician coverage,200,1.644444,0.932733,2.654266,20.645782,11.780193,37.419384,2.534646,1.494253,3.403547,2.897558,1.702743,3.910781,0.214332,-1.989984,1.879281,-2.998278,-3.625162,-2.474765,-0.822345,-1.997447,0.564937,40.000000,40.000000,40.000000,5.000000,5.000000,5.000000,1
C05,S02,Fast-track activation,200,-8.000000,-16.418749,-4.061274,-60.833622,-119.232553,-32.203670,5.858849,4.391713,7.711452,6.657963,4.902034,8.907640,-0.065109,-3.911442,5.088371,3.321481,2.324291,4.540798,0.247262,-1.180115,1.912327,0.000000,0.000000,0.000000,17.000000,14.000000,19.000000,1
C05,S03,Combined bounded rule,200,0.000000,-0.576839,0.836873,9.283590,2.765603,20.991213,3.033736,1.834233,4.384721,3.476582,2.022501,5.097321,0.124075,-1.537823,1.574799,-0.995917,-1.775703,-0.394346,0.283902,-0.669347,1.381137,24.726122,17.237187,32.180023,4.000000,3.000000,5.000000,1
