measure,value,denominator_or_scope,interval_or_comparator,evidence_path,interpretation_limit
modeling_rows,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
split,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
baseline_probability,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
selected_model,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
test_roc_auc,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
test_brier,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
locked_threshold,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
test_confusion,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
subgroup_suppression,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
selection_case,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
forecast_mae,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
accepted_tests,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
seeded_failures,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
