boundary_id,element,status,module01_decision,later_owner,reason
IU01,primary user,REPLACE,REPLACE,REPLACE,REPLACE
IU02,workflow moment,REPLACE,REPLACE,REPLACE,REPLACE
IU03,intended support,REPLACE,REPLACE,REPLACE,REPLACE
IU04,final clinical eligibility,REPLACE,REPLACE,REPLACE,REPLACE
IU05,final analytic target,REPLACE,REPLACE,REPLACE,REPLACE
IU06,predictor list,REPLACE,REPLACE,REPLACE,REPLACE
IU07,threshold,REPLACE,REPLACE,REPLACE,REPLACE
IU08,automatic order,REPLACE,REPLACE,REPLACE,REPLACE
IU09,diagnosis,REPLACE,REPLACE,REPLACE,REPLACE
IU10,real-patient scoring,REPLACE,REPLACE,REPLACE,REPLACE
IU11,production connection,REPLACE,REPLACE,REPLACE,REPLACE
IU12,course progression,REPLACE,REPLACE,REPLACE,REPLACE
