fold_id,issue_date,train_end_week,test_week,horizon_shifts,special_event_shifts,actual_arrivals,forecast_arrivals,forecast_error,fold_mae_arrivals,eligibility_status
F01,2024-06-16,24,25,21,0,786,853.648307,67.648307,4.671404,eligible
F02,2024-06-23,25,26,21,0,718,767.778607,49.778607,5.141251,eligible
F03,2024-06-30,26,27,21,21,812,660.568988,-151.431012,8.037380,eligible
F04,2024-07-07,27,28,21,21,813,868.076828,55.076828,5.219201,eligible
F05,2024-07-14,28,29,21,21,772,819.628482,47.628482,4.829635,eligible
F06,2024-07-21,29,30,21,21,805,721.981952,-83.018048,7.381663,eligible
F07,2024-07-28,30,31,21,21,878,774.132114,-103.867886,5.345709,eligible
F08,2024-08-04,31,32,21,21,866,917.980823,51.980823,4.924936,eligible
F09,2024-08-11,32,33,21,0,746,891.433773,145.433773,8.174933,eligible
F10,2024-08-18,33,34,21,0,747,758.578662,11.578662,5.834350,eligible
F11,2024-08-25,34,35,21,0,769,679.502021,-89.497979,5.581432,eligible
F12,2024-09-01,35,36,21,0,753,814.807431,61.807431,7.021059,eligible
F13,2024-09-08,36,37,21,0,789,778.251482,-10.748518,4.432626,eligible
F14,2024-09-15,37,38,21,0,819,777.018439,-41.981561,6.972601,eligible
F15,2024-09-22,38,39,21,0,776,928.923903,152.923903,7.408872,eligible
F16,2024-09-29,39,40,21,0,858,711.288668,-146.711332,7.952120,eligible
F17,2024-10-06,40,41,21,0,800,837.349139,37.349139,5.453973,eligible
F18,2024-10-13,41,42,21,0,870,792.536153,-77.463847,7.136702,eligible
F19,2024-10-20,42,43,21,0,838,875.857218,37.857218,4.285572,eligible
F20,2024-10-27,43,44,21,0,893,830.313920,-62.686080,5.181246,eligible
F21,2024-11-03,44,45,21,0,866,947.445433,81.445433,5.818651,eligible
F22,2024-11-10,45,46,21,0,869,828.579256,-40.420744,4.987838,eligible
F23,2024-11-17,46,47,21,0,889,884.835160,-4.164840,5.918761,eligible
F24,2024-11-24,47,48,21,0,878,841.140250,-36.859750,5.460257,eligible
F25,2024-12-01,48,49,21,0,853,909.127888,56.127888,6.468715,eligible
F26,2024-12-08,49,50,21,0,863,861.875620,-1.124380,6.358151,eligible
F27,2024-12-15,50,51,21,0,869,815.896309,-53.103691,5.648712,eligible
F28,2024-12-22,51,52,21,0,862,913.273342,51.273342,4.596161,eligible
