review_id,dimension_or_issue,evidence,status,required_action,prohibited_inference,owner
E01,English language access,"228 ready encounters and 12 candidate cards at 0.03; synthetic rate reportable with boundary",supported synthetic comparison,test plain-language and screen-reader wording,does not prove English-language usability or equity,language-access reviewer
E02,Spanish language access,"13 ready encounters and 0 candidate cards at 0.03; rate suppressed",support rule not met,build explicit qualified Spanish-language test cases,do not infer equal reach or absence of need,Spanish-language reviewer
E03,other language access,"8 ready encounters and 0 candidate cards at 0.03; rate suppressed",support rule not met,build explicit qualified-language test cases,do not merge languages to create support,language-access reviewer
E04,screen-reader access,"61 ready encounters and 1 candidate card at 0.03; rate suppressed",support rule not met,test semantic order labels focus and equivalent text,do not claim screen-reader usability,accessibility reviewer
E05,low-vision access,"52 ready encounters and 2 candidate cards at 0.03; rate suppressed",support rule not met,test zoom contrast and noncolor meaning,do not claim low-vision usability,accessibility reviewer
E06,motor access,"41 ready encounters and 3 candidate cards at 0.03; rate suppressed",support rule not met,test keyboard target size and time independence,do not claim motor accessibility,accessibility reviewer
E07,cognitive support,"52 ready encounters and 4 candidate cards at 0.03; rate suppressed",support rule not met,test plain language chunking and stable navigation,do not claim cognitive accessibility,patient and accessibility reviewers
E08,age and source-recorded gender,all 0.03 group candidate-card rates are suppressed,group support unresolved,retain separate rows and seek adequate review evidence,do not rank groups or prescribe group action,equity reviewer
E09,BMI slices,all 0.03 candidate-card rates are suppressed and high-BMI groups are very small,group support unresolved,show score-transport mismatch and preserve suppression,do not treat BMI association as causal or moral,equity and methods reviewers
E10,input availability,39 of 288 candidate-frame encounters are unavailable in the script,scripted burden signal,show missing stale and inconsistent states without default,do not call unavailable input low risk,data steward
E11,privacy,patient source identifiers are replaced by synthetic IDs and SHA-256 fingerprints,minimized teaching release,do not expose names addresses contacts or direct identifiers,synthetic status does not remove privacy review,privacy reviewer
E12,patient targeting,no real patient or group may be selected,prohibited,keep every output offline and synthetic,do not convert a slice into a targeting rule,governance council
