dimension,group,reference_group,measure,valid_n,positive_n,negative_n,contributing_psus,weighted_denominator,weighted_percent,survey_se_pp,ci95_low_percent,ci95_high_percent,support_status,support_reason
other_language_at_home,no,no,delayed_for_cost,1036,79,957,249,15627061.926258,7.51476300,0.96363404,5.62604029,9.40348571,supported,reportable_teaching_support
other_language_at_home,no,no,after_hours_difficult,590,298,292,221,8740597.955045,50.88250123,2.68988123,45.61033401,56.15466845,supported,reportable_teaching_support
other_language_at_home,no,no,involved_usually_always,819,608,211,235,12135529.901452,75.12872556,1.96173518,71.28372460,78.97372651,supported,reportable_teaching_support
other_language_at_home,no,no,any_telehealth_event,1039,231,808,250,15668020.701276,22.69822029,1.80098646,19.16828682,26.22815375,supported,reportable_teaching_support
other_language_at_home,yes,no,delayed_for_cost,215,15,200,119,3194734.635005,8.16833618,2.20510679,3.84632687,12.49034550,supported,reportable_teaching_support
other_language_at_home,yes,no,after_hours_difficult,117,67,50,82,1710125.691968,60.91718644,5.50534272,50.12671471,71.70765818,supported,reportable_teaching_support
other_language_at_home,yes,no,involved_usually_always,137,95,42,94,2043372.095005,73.22550142,4.64297836,64.12526384,82.32573901,supported,reportable_teaching_support
other_language_at_home,yes,no,any_telehealth_event,215,36,179,119,3194734.635005,17.81870380,3.10193208,11.73891692,23.89849069,supported,reportable_teaching_support
other_language_at_home,missing or inapplicable,no,delayed_for_cost,1,0,1,1,,,,,,suppressed,valid n below 50; positive n below 10; negative n below 10; fewer than two contributing PSUs
other_language_at_home,missing or inapplicable,no,after_hours_difficult,1,0,1,1,,,,,,suppressed,valid n below 50; positive n below 10; negative n below 10; fewer than two contributing PSUs
other_language_at_home,missing or inapplicable,no,involved_usually_always,1,1,0,1,,,,,,suppressed,valid n below 50; positive n below 10; negative n below 10; fewer than two contributing PSUs
other_language_at_home,missing or inapplicable,no,any_telehealth_event,1,1,0,1,,,,,,suppressed,valid n below 50; positive n below 10; negative n below 10; fewer than two contributing PSUs
income_group,middle or high income,middle or high income,delayed_for_cost,721,39,682,236,12100895.883629,6.18067839,0.98177303,4.25640326,8.10495353,supported,reportable_teaching_support
income_group,middle or high income,middle or high income,after_hours_difficult,404,205,199,198,6655351.383352,54.80227674,3.02579916,48.87171039,60.73284308,supported,reportable_teaching_support
income_group,middle or high income,middle or high income,involved_usually_always,571,444,127,221,9316612.751066,77.19770312,2.24253864,72.80232738,81.59307886,supported,reportable_teaching_support
income_group,middle or high income,middle or high income,any_telehealth_event,722,169,553,236,12112987.533925,24.40699143,2.22079346,20.05423624,28.75974663,supported,reportable_teaching_support
income_group,lower income,middle or high income,delayed_for_cost,531,55,476,218,6737619.625968,10.20205820,1.48049620,7.30028565,13.10383075,supported,reportable_teaching_support
income_group,lower income,middle or high income,after_hours_difficult,304,160,144,168,3812091.211995,48.31760660,3.36052905,41.73096967,54.90424354,supported,reportable_teaching_support
income_group,lower income,middle or high income,involved_usually_always,386,260,126,193,4879008.193725,70.46609016,2.79348163,64.99086618,75.94131415,supported,reportable_teaching_support
income_group,lower income,middle or high income,any_telehealth_event,533,99,434,219,6766486.750690,17.52645527,2.01297184,13.58103047,21.47188007,supported,reportable_teaching_support
insurance_coverage,any private insurance,any private insurance,delayed_for_cost,543,40,503,223,9330014.739399,7.16409613,1.10178565,5.00459625,9.32359600,supported,reportable_teaching_support
insurance_coverage,any private insurance,any private insurance,after_hours_difficult,290,153,137,164,5075964.524843,56.52212761,3.28637264,50.08083723,62.96341799,supported,reportable_teaching_support
insurance_coverage,any private insurance,any private insurance,involved_usually_always,415,320,95,196,7007699.081573,77.46372046,2.47116027,72.62024633,82.30719460,supported,reportable_teaching_support
insurance_coverage,any private insurance,any private insurance,any_telehealth_event,543,135,408,223,9330014.739399,26.11465663,2.58683068,21.04446850,31.18484476,supported,reportable_teaching_support
insurance_coverage,public insurance only,any private insurance,delayed_for_cost,692,49,643,237,9227217.996566,7.43893589,1.13407066,5.21615740,9.66171438,supported,reportable_teaching_support
