field_name,origin,role,available_at_prediction_time,default_predictor,use_condition,leakage_action,reason
patient_id,source,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
birth_date,source,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
death_date,source,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
age_at_index,source,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
gender,source,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
race,source,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
ethnicity,source,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
index_encounter_id,source,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
index_start,source,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
index_stop,source,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
index_class,source,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
index_code,source,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
index_description,source,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
index_reason_code,source,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
index_reason_description,source,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
prior_365d_encounter_count,source,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
prior_365d_acute_count,source,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
prior_365d_condition_count,source,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
prior_365d_medication_count,source,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
next_30d_state,source,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
next_30d_encounter_id,source,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
next_30d_start,source,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
next_30d_days_after_index_stop,source,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
acute_return_90d,source,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
death_90d,source,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
endpoint_90d,source,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
followup_90d_complete,source,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
source_release,source,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
cohort_definition_version,source,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
model_row_id,derived,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
prediction_time,derived,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
outcome_horizon_days,derived,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
split,derived,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
split_order,derived,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
