rule_id,measure_id,trigger,response_level,confirmation_owner,decision_owner,immediate_safeguard,fallback_state,documentation,restart_condition,automatic_action
E01,M01,median arrival-to-clinician above 70.035963 minutes,investigate,flow lead,operations council,verify source and stratify the signal,continue no-change monitoring,governed Week 6 monitoring record,"new evidence, clinician leadership review, and explicit authorization",0
E02,M02,P90 arrival-to-clinician above 151.453267 minutes,investigate,flow lead,operations council,review tail periods and demand,continue no-change monitoring,governed Week 6 monitoring record,"new evidence, clinician leadership review, and explicit authorization",0
E03,M04,left before seen above 12.914912 percent,investigate,access lead,operations council,verify denominator and access groups,continue no-change monitoring,governed Week 6 monitoring record,"new evidence, clinician leadership review, and explicit authorization",0
E04,supplemental,high-acuity median wait above 60.084398 minutes,pause review,clinical lead,clinical performance council,pause redesign review and examine acuity cases,continue no-change monitoring,governed Week 6 monitoring record,"new evidence, clinician leadership review, and explicit authorization",0
E05,M10,language-support gap above 5 minutes worse,pause review,access lead,clinical performance council,verify support-group completeness and process,continue no-change monitoring,governed Week 6 monitoring record,"new evidence, clinician leadership review, and explicit authorization",0
E06,M11,mobility-support gap above 5 minutes worse,pause review,access lead,clinical performance council,verify support-group completeness and process,continue no-change monitoring,governed Week 6 monitoring record,"new evidence, clinician leadership review, and explicit authorization",0
E07,M07,modeled overtime reference above 8.715484 hours,investigate,workforce lead,operations council,review workload and coverage assumptions,continue no-change monitoring,governed Week 6 monitoring record,"new evidence, clinician leadership review, and explicit authorization",0
E08,M08,any reviewed safety-event candidate,immediate clinical review,safety lead,clinical safety authority,follow the governed event-review process,continue no-change monitoring,governed Week 6 monitoring record,"new evidence, clinician leadership review, and explicit authorization",0
E09,M09,follow-up completeness does not pass,interpretability gate,quality lead,quality council,report unavailable and repair follow-up capture,continue no-change monitoring,governed Week 6 monitoring record,"new evidence, clinician leadership review, and explicit authorization",0
E10,M12,no accepted interruption or perceived-load baseline,baseline required,workforce lead,operations council,collect baseline before any test,continue no-change monitoring,governed Week 6 monitoring record,"new evidence, clinician leadership review, and explicit authorization",0
