condition_id,scenario_id,replication,seed,arrivals,completed,left_before_seen,left_before_seen_percent,median_arrival_to_clinician_minutes,p90_arrival_to_clinician_minutes,median_arrival_to_departure_minutes,clinician_utilization_percent,modeled_overtime_hours,flex_clinician_hours,trigger_count,median_activation_delay_minutes,standard_wait_minutes,language_support_wait_minutes,mobility_support_wait_minutes,language_gap_minutes,mobility_gap_minutes,high_acuity_wait_minutes,low_acuity_wait_minutes,maximum_waiting_queue,fast_track_completed,safety_outcome_status,return_72h_status,conservation_status,synthetic_flag
C01,S00,1,7301501,831,742,89,10.709988,60.000000,166.907322,105.266043,82.418711,8.207356,0.000000,0,0.000000,60.028102,57.995421,58.000000,-2.032681,-2.028102,45.180859,70.000000,15,0,not simulated; prospective measurement required,not simulated; prospective measurement required,pass,1
C01,S01,1,7301501,831,758,73,8.784597,58.213070,126.750060,102.722635,79.105862,6.816536,40.000000,5,0.000000,58.472245,58.000000,58.000000,-0.472245,-0.472245,44.321871,68.513570,14,0,not simulated; prospective measurement required,not simulated; prospective measurement required,pass,1
C01,S02,1,7301501,831,794,37,4.452467,65.000000,191.386452,108.486329,84.304128,7.857715,0.000000,15,15.000000,65.000000,63.500000,67.000000,-1.500000,2.000000,46.000000,74.861773,19,95,not simulated; prospective measurement required,not simulated; prospective measurement required,pass,1
C01,S03,1,7301501,831,764,67,8.062575,59.922975,133.829790,103.800000,80.745130,8.154360,23.430679,4,15.000000,60.000000,58.000000,58.521036,-2.000000,-1.478964,44.864129,70.000000,14,27,not simulated; prospective measurement required,not simulated; prospective measurement required,pass,1
C01,S00,2,7301502,806,709,97,12.034739,59.000000,136.166110,105.817558,79.833146,5.158030,0.000000,0,0.000000,59.830656,56.000000,56.000000,-3.830656,-3.830656,43.000000,68.000000,20,0,not simulated; prospective measurement required,not simulated; prospective measurement required,pass,1
C01,S01,2,7301502,806,728,78,9.677419,57.622228,117.683858,102.866580,76.638400,4.363801,40.000000,5,0.000000,58.000000,56.432012,55.596262,-1.567988,-2.403738,43.000000,67.000000,15,0,not simulated; prospective measurement required,not simulated; prospective measurement required,pass,1
C01,S02,2,7301502,806,751,55,6.823821,62.000000,147.005459,107.000000,81.332650,8.425806,0.000000,15,15.000000,63.000000,61.838407,58.000000,-1.161593,-5.000000,44.000000,73.000000,22,75,not simulated; prospective measurement required,not simulated; prospective measurement required,pass,1
C01,S03,2,7301502,806,734,72,8.933002,59.000000,129.294941,105.901574,79.337118,5.888687,13.490919,4,15.000000,60.000000,57.631386,57.000000,-2.368614,-3.000000,43.000000,70.000000,15,27,not simulated; prospective measurement required,not simulated; prospective measurement required,pass,1
C01,S00,3,7301503,795,714,81,10.188679,58.000000,108.279904,100.571877,77.359964,5.572067,0.000000,0,0.000000,59.000000,57.938718,55.000000,-1.061282,-4.000000,43.638030,71.000000,22,0,not simulated; prospective measurement required,not simulated; prospective measurement required,pass,1
C01,S01,3,7301503,795,728,67,8.427673,57.007477,94.080782,99.500000,74.137962,4.054633,40.000000,5,0.000000,58.000000,53.745918,55.000000,-4.254082,-3.000000,42.887746,70.000000,14,0,not simulated; prospective measurement required,not simulated; prospective measurement required,pass,1
C01,S02,3,7301503,795,749,46,5.786164,60.000000,128.509631,103.305207,78.303664,5.403428,0.000000,12,15.000000,61.314419,58.000000,57.000000,-3.314419,-4.314419,44.533638,73.000000,23,80,not simulated; prospective measurement required,not simulated; prospective measurement required,pass,1
C01,S03,3,7301503,795,729,66,8.301887,58.000000,103.540154,100.543755,76.047688,5.869113,18.169072,4,15.000000,59.000000,58.000000,55.000000,-1.000000,-4.000000,43.392142,71.000000,17,20,not simulated; prospective measurement required,not simulated; prospective measurement required,pass,1
