shift_name,acuity,access_support_group,donor_rows,median_pre_clinician_preparation_minutes,median_clinician_to_departure_minutes,median_effective_service_minutes,support_status,synthetic_flag
day,1,language_support,114,33.000000,300.500000,60.100000,supported,1
day,1,mobility_support,67,32.000000,309.000000,61.800000,limited,1
day,1,standard,671,31.000000,305.000000,61.000000,supported,1
day,2,language_support,438,38.000000,258.000000,51.600000,supported,1
day,2,mobility_support,258,38.000000,262.500000,52.500000,supported,1
day,2,standard,2526,37.000000,263.000000,52.600000,supported,1
day,3,language_support,1077,48.000000,205.000000,41.000000,supported,1
day,3,mobility_support,665,47.000000,207.000000,41.400000,supported,1
day,3,standard,6198,47.000000,204.000000,40.800000,supported,1
day,4,language_support,460,59.000000,159.000000,31.800000,supported,1
day,4,mobility_support,284,59.000000,164.000000,32.800000,supported,1
day,4,standard,2809,59.000000,163.000000,32.600000,supported,1
day,5,language_support,133,65.000000,138.000000,27.600000,supported,1
day,5,mobility_support,62,66.000000,140.500000,28.100000,limited,1
day,5,standard,871,67.000000,139.000000,27.800000,supported,1
evening,1,language_support,115,35.000000,304.000000,60.800000,supported,1
evening,1,mobility_support,64,37.500000,311.000000,62.200000,limited,1
evening,1,standard,640,36.000000,308.000000,61.600000,supported,1
evening,2,language_support,401,42.000000,265.000000,53.000000,supported,1
evening,2,mobility_support,211,42.000000,261.000000,52.200000,supported,1
evening,2,standard,2187,42.000000,264.000000,52.800000,supported,1
evening,3,language_support,940,51.500000,202.000000,40.400000,supported,1
evening,3,mobility_support,536,52.000000,207.000000,41.400000,supported,1
evening,3,standard,5359,52.000000,204.000000,40.800000,supported,1
evening,4,language_support,349,64.000000,164.000000,32.800000,supported,1
evening,4,mobility_support,229,63.000000,171.000000,34.200000,supported,1
evening,4,standard,2297,63.000000,164.000000,32.800000,supported,1
evening,5,language_support,94,70.000000,142.000000,28.400000,limited,1
evening,5,mobility_support,77,72.000000,141.000000,28.200000,limited,1
evening,5,standard,663,72.000000,139.000000,27.800000,supported,1
night,1,language_support,83,39.000000,301.000000,60.200000,limited,1
night,1,mobility_support,48,39.000000,310.000000,62.000000,limited,1
night,1,standard,398,37.000000,305.000000,61.000000,supported,1
night,2,language_support,262,45.000000,270.000000,54.000000,supported,1
night,2,mobility_support,161,45.000000,261.000000,52.200000,supported,1
night,2,standard,1431,44.000000,264.000000,52.800000,supported,1
night,3,language_support,637,54.000000,207.000000,41.400000,supported,1
night,3,mobility_support,336,54.000000,207.000000,41.400000,supported,1
night,3,standard,3465,54.000000,204.000000,40.800000,supported,1
night,4,language_support,236,65.500000,161.000000,32.200000,supported,1
night,4,mobility_support,124,66.000000,166.500000,33.300000,supported,1
night,4,standard,1510,65.000000,162.500000,32.500000,supported,1
night,5,language_support,60,73.500000,138.000000,27.600000,limited,1
night,5,mobility_support,49,75.000000,141.000000,28.200000,limited,1
night,5,standard,379,74.000000,140.000000,28.000000,supported,1
