condition_id,source,condition,owner,due_point,evidence,verifier,status,escalation_trigger
CP1-C01,Checkpoint 01,map the package to the official APP-5 section and published half-term dates,program director,before alpha,approved section and date record,APP-5 faculty owner,open,no published due date
CP1-C02,Checkpoint 01,review public and synthetic source identities roles and limits,public-data lead,before alpha,dated source and synthetic-release review,independent source reviewer,open,no source-acceptance claim
CP1-C03,Checkpoint 01,review denominator rate standardization and measure methods,biostatistics lead,before alpha,documented method review,independent biostatistics reviewer,open,no method promotion
CP1-C04,Checkpoint 01,review group labels standards and separate-margin limits,equity lead,before alpha,documented equity standards review,equity and civil-rights reviewer,open,no intersectional claim
CP1-C05,Checkpoint 01,review references uncertainty and support decisions,biostatistics lead,before alpha,documented uncertainty review,independent methods reviewer,open,no unsupported precision claim
CP1-C06,Checkpoint 01,review missingness linkage and representation limits,equity lead,before alpha,documented representation review,equity reviewer,open,no representation claim
CP1-C07,Checkpoint 01,review selection linkage measurement and interpretation bias,epidemiology lead,before alpha,documented bias review,independent epidemiology reviewer,open,no causal or unbiased claim
CP1-C08,Checkpoint 01,review suppression privacy and nonreconstruction controls,privacy lead,before alpha,documented privacy review,privacy and data-governance reviewer,open,no release-safety claim
CP1-C09,Checkpoint 01,confirm community correction disagreement refusal and stop rights,community-accountability lead,before any real review request,approved community-rights design,community representatives,open,no community approval request
CP1-C10,Checkpoint 01,review accessibility language disability and exact alternatives,accessibility lead,before alpha,documented access review,language and disability-access reviewers,open,no equivalent-access claim
CP1-C11,Checkpoint 01,review responsible AI verification correction and accountability,responsible-AI lead,before alpha,documented responsible-AI review,responsible-AI reviewer,open,no agent-accountability acceptance
CP1-C12,Checkpoint 01,complete clean independent reproduction,independent reproducer,before alpha,signed clean reproduction record,APP-5 faculty owner,open,no course promotion or tag authorization
CP2-C01,Checkpoint 02,map the checkpoint to the official APP-5 section and published dates,APP-5 faculty owner,before alpha,approved course mapping record,program director,open,no published due date
CP2-C02,Checkpoint 02,review TIGER geometry projection simplification map and exact table,GIS owner,before alpha,documented GIS review,independent GIS reviewer,open,no map publication claim
CP2-C03,Checkpoint 02,review ecological contextual support aggregation and place language,population-health clinician,before alpha,documented clinical and equity review,epidemiology and equity reviewers,open,no place or community claim
CP2-C04,Checkpoint 02,review resource assumptions four rules fairness consequences and sensitivity,resource-governance owner,before any real review request,documented quantitative and governance review,biostatistics and equity reviewers,open,no targeting or allocation request
CP2-C05,Checkpoint 02,confirm community correction appeal language and disability access routes,community-accountability owner,before any real review request,approved community and access review,community representatives,open,no contact or convening
CP2-C06,Checkpoint 02,confirm no real need consent eligibility or outreach authority,clinical owner,before any real review request,documented population-health clinical review,population-health clinician,open,no individual or outreach action
CP2-C07,Checkpoint 02,resolve or retain staff travel burden and capacity conditions,implementation owner,before any real review request,documented feasibility disposition,implementation and resource reviewer,open,no readiness claim
CP2-C08,Checkpoint 02,review monitoring definitions denominators triggers unavailable states and responses,monitoring owner,before any real review request,documented epidemiology review,monitoring and safety reviewer,open,no monitoring acceptance
CP2-C09,Checkpoint 02,review incidents disagreement escalation pause stop revision and retirement,governance owner,before any real review request,documented safety and governance review,community and safety reviewers,open,no governance approval
CP2-C10,Checkpoint 02,confirm outcomes unavailable and effect estimation deferred to APP-6,evaluation owner,before any outcome claim,documented causal boundary review,causal and evaluation reviewer,open,no effect claim
CP2-C11,Checkpoint 02,review clustering contract failures rejection and prohibited uses,model-risk owner,before alpha,documented biostatistics and responsible-AI review,independent model-risk reviewer,open,no challenger promotion
CP2-C12,Checkpoint 02,review privacy security accessibility and nonreconstruction,data steward,before alpha,documented privacy security and accessibility review,privacy security and accessibility reviewers,open,no release-safety claim
CP2-C13,Checkpoint 02,review every material AI use verification correction and human accountability,APP-5 faculty owner,before alpha,documented responsible-AI review,responsible-AI reviewer,open,no agent sign-off claim
CP2-C14,Checkpoint 02,confirm independent reproduction and Joe Joseph MD participation details,program director,before alpha,direct clinician confirmation and signed reproduction record,APP-5 faculty owner,open,no clinician-participation or tag claim
