relative_path,bytes,sha256,source_module,source_version,role
candidate/module-01/.gitattributes,101,ca87e5d6faa1c13a63cb762b2fb40df6f7b7e44715134e0680179b156181f2b4,oclc-app3-01,0.1.0,accepted reference workspace artifact
candidate/module-01/VERSION,6,e9dd8507f4bf0c6f42458e41aea833ad0bd3f6127272335eee9bf4d58541ed67,oclc-app3-01,0.1.0,accepted reference workspace artifact
candidate/module-01/ai-use.md,1270,e8e78d2e4439bf374e599b215f7265501fcf4603ead3bdcc075dc83a5ecc309e,oclc-app3-01,0.1.0,accepted reference workspace artifact
candidate/module-01/assessment.md,2277,52bf7ced4aa9e29a75f6e02c60f8d540fbbdafe6b68f3048598c05cb0886a3ec,oclc-app3-01,0.1.0,accepted reference workspace artifact
candidate/module-01/claim-boundary.csv,1440,45c236cbe581612250b48efd060ccad728bb4455ab7512ca72d5ca48b8f5fd89,oclc-app3-01,0.1.0,accepted reference workspace artifact
candidate/module-01/clinical-performance-charter.md,3306,77e190b3e87f04618ae85546fd92d6ee41218d5f8a4273aa1fd62dc041fdc5dd,oclc-app3-01,0.1.0,accepted reference workspace artifact
candidate/module-01/data-spec.md,3673,14cf892d30e3aa91481d29e4825218ab1e899ab81eb36fcafe79ae06878cf23a,oclc-app3-01,0.1.0,accepted reference workspace artifact
candidate/module-01/data/capacity-source-profile.csv,2178,aed437e82e6da4414fbc397075313fee1c8be81564714e62fac8d4b695fc70be,oclc-app3-01,0.1.0,accepted reference workspace artifact
candidate/module-01/data/measure-family-anchors.csv,2810,c3d68abf3add126deb526b07dbee8b5ebe11c7226d81d403455fb33eab1547f0,oclc-app3-01,0.1.0,accepted reference workspace artifact
candidate/module-01/data/raw/Complications_and_Deaths-Hospital.csv.gz,1250022,796da2a991897a87a05ea84abe48e679f094b0e5573ae663f137e50d1d89ccf3,oclc-app3-01,0.1.0,accepted reference workspace artifact
candidate/module-01/data/raw/HHS-Capacity-Massachusetts.csv.gz,320980,f3877e67d05fdc96fbbf6ee5c19db2a55020b90a964f975566949a1f06eec1a5,oclc-app3-01,0.1.0,accepted reference workspace artifact
candidate/module-01/data/raw/Timely_and_Effective_Care-Hospital.csv.gz,1202310,88ac436a69819d3bbedd464adfbdf41406950b63488c3074f201a0444a756706,oclc-app3-01,0.1.0,accepted reference workspace artifact
