dimension,group,method,evaluation_rows,respondents,nonrespondents,base_weighted_brier,mean_predicted_response,observed_response,mean_respondent_factor,support_status,predictor_status,claim_limit
other_language_at_home,no,transparent_benchmark,309,208,101,0.22320607,0.63597163,0.68201270,1.56820299,report with boundary,eligible,descriptive held-out audit; no ranking fairness certification or group-specific threshold
other_language_at_home,no,bounded_random_forest,309,208,101,0.22401689,0.63122210,0.68201270,1.58388344,report with boundary,eligible,descriptive held-out audit; no ranking fairness certification or group-specific threshold
other_language_at_home,yes,transparent_benchmark,68,27,41,0.26285869,0.49795500,0.41765938,2.00975733,report with boundary,eligible,descriptive held-out audit; no ranking fairness certification or group-specific threshold
other_language_at_home,yes,bounded_random_forest,68,27,41,0.26932149,0.54035160,0.41765938,1.83417949,report with boundary,eligible,descriptive held-out audit; no ranking fairness certification or group-specific threshold
other_language_at_home,missing or inapplicable,transparent_benchmark,0,0,0,,,,,suppress: fewer than 30 rows or 10 in either response class,eligible,descriptive held-out audit; no ranking fairness certification or group-specific threshold
other_language_at_home,missing or inapplicable,bounded_random_forest,0,0,0,,,,,suppress: fewer than 30 rows or 10 in either response class,eligible,descriptive held-out audit; no ranking fairness certification or group-specific threshold
income_group,middle or high income,transparent_benchmark,208,145,63,0.22461433,0.66138080,0.67127442,1.49317726,report with boundary,eligible,descriptive held-out audit; no ranking fairness certification or group-specific threshold
income_group,middle or high income,bounded_random_forest,208,145,63,0.22481101,0.66132482,0.67127442,1.49278294,report with boundary,eligible,descriptive held-out audit; no ranking fairness certification or group-specific threshold
income_group,lower income,transparent_benchmark,169,90,79,0.23791221,0.53466052,0.58620290,1.82154408,report with boundary,eligible,descriptive held-out audit; no ranking fairness certification or group-specific threshold
income_group,lower income,bounded_random_forest,169,90,79,0.24216674,0.54240356,0.58620290,1.80574530,report with boundary,eligible,descriptive held-out audit; no ranking fairness certification or group-specific threshold
insurance_coverage,any private insurance,transparent_benchmark,158,111,47,0.21998659,0.63021157,0.69182580,1.58473748,report with boundary,audit only,descriptive held-out audit; no ranking fairness certification or group-specific threshold
insurance_coverage,any private insurance,bounded_random_forest,158,111,47,0.22106668,0.63049337,0.69182580,1.58669306,report with boundary,audit only,descriptive held-out audit; no ranking fairness certification or group-specific threshold
insurance_coverage,public insurance only,transparent_benchmark,214,123,91,0.23621776,0.59883933,0.60323720,1.64984435,report with boundary,audit only,descriptive held-out audit; no ranking fairness certification or group-specific threshold
insurance_coverage,public insurance only,bounded_random_forest,214,123,91,0.23889623,0.60453758,0.60323720,1.63592365,report with boundary,audit only,descriptive held-out audit; no ranking fairness certification or group-specific threshold
insurance_coverage,uninsured,transparent_benchmark,5,1,4,,,,,suppress: fewer than 30 rows or 10 in either response class,audit only,descriptive held-out audit; no ranking fairness certification or group-specific threshold
insurance_coverage,uninsured,bounded_random_forest,5,1,4,,,,,suppress: fewer than 30 rows or 10 in either response class,audit only,descriptive held-out audit; no ranking fairness certification or group-specific threshold
race_ethnicity,non-Hispanic White only,transparent_benchmark,245,167,78,0.22081283,0.64001505,0.68441769,1.55596450,report with boundary,audit only,descriptive held-out audit; no ranking fairness certification or group-specific threshold
race_ethnicity,non-Hispanic White only,bounded_random_forest,245,167,78,0.22192091,0.63686943,0.68441769,1.56882459,report with boundary,audit only,descriptive held-out audit; no ranking fairness certification or group-specific threshold
race_ethnicity,Hispanic,transparent_benchmark,53,18,35,0.24276156,0.47866775,0.34275216,2.05959000,report with boundary,audit only,descriptive held-out audit; no ranking fairness certification or group-specific threshold
race_ethnicity,Hispanic,bounded_random_forest,53,18,35,0.25126625,0.52295508,0.34275216,1.85904441,report with boundary,audit only,descriptive held-out audit; no ranking fairness certification or group-specific threshold
race_ethnicity,non-Hispanic Black only,transparent_benchmark,54,36,18,0.24589130,0.60615120,0.65305777,1.64150802,report with boundary,audit only,descriptive held-out audit; no ranking fairness certification or group-specific threshold
race_ethnicity,non-Hispanic Black only,bounded_random_forest,54,36,18,0.25029284,0.59570340,0.65305777,1.66621161,report with boundary,audit only,descriptive held-out audit; no ranking fairness certification or group-specific threshold
race_ethnicity,non-Hispanic Asian only,transparent_benchmark,13,7,6,,,,,suppress: fewer than 30 rows or 10 in either response class,audit only,descriptive held-out audit; no ranking fairness certification or group-specific threshold
race_ethnicity,non-Hispanic Asian only,bounded_random_forest,13,7,6,,,,,suppress: fewer than 30 rows or 10 in either response class,audit only,descriptive held-out audit; no ranking fairness certification or group-specific threshold
race_ethnicity,non-Hispanic other or multiple races,transparent_benchmark,12,7,5,,,,,suppress: fewer than 30 rows or 10 in either response class,audit only,descriptive held-out audit; no ranking fairness certification or group-specific threshold
race_ethnicity,non-Hispanic other or multiple races,bounded_random_forest,12,7,5,,,,,suppress: fewer than 30 rows or 10 in either response class,audit only,descriptive held-out audit; no ranking fairness certification or group-specific threshold
