week_end,jurisdiction,respiratory_season,inpatient_beds,inpatient_beds_occupied,inpatient_occupancy_pct,icu_beds,icu_beds_occupied,icu_occupancy_pct,covid_new_admissions,flu_new_admissions,rsv_new_admissions,hospitals_reporting_occupancy,hospitals_reporting_occupancy_pct,week_index,calendar_year,iso_week,source_season_status,days_since_prior,total_respiratory_new_admissions,reporting_gap_pct
2024-11-09,MA,,12733,10854,85.24,1389,1127,81.14,201,29,25,62,73.81,1,2024,45,source field unavailable,,255,26.19
2024-11-16,MA,,13961,11891,85.17,1314,1034,78.69,292,16,56,73,85.88,2,2024,46,source field unavailable,7,364,14.12
2024-11-23,MA,,15492,13345,86.14,1566,1273,81.29,368,45,119,76,89.41,3,2024,47,source field unavailable,7,532,10.59
2024-11-30,MA,,14520,12066,83.10,1406,1094,77.81,368,63,134,78,91.76,4,2024,48,source field unavailable,7,565,8.24
2024-12-07,MA,,15434,13267,85.96,1548,1267,81.85,440,82,162,76,89.41,5,2024,49,source field unavailable,7,684,10.59
2024-12-14,MA,,13793,12003,87.02,1285,1037,80.70,421,123,220,75,88.24,6,2024,50,source field unavailable,7,764,11.76
2024-12-21,MA,,14889,12767,85.75,1450,1178,81.24,370,134,223,77,90.59,7,2024,51,source field unavailable,7,727,9.41
2024-12-28,MA,,14703,11463,77.96,1525,1128,73.97,375,256,241,77,90.59,8,2024,52,source field unavailable,7,872,9.41
2025-01-04,MA,,15357,12947,84.31,1588,1218,76.70,596,520,317,79,92.94,9,2025,1,source field unavailable,7,1433,7.06
2025-01-11,MA,,16290,14131,86.75,1626,1318,81.06,626,585,248,80,94.12,10,2025,2,source field unavailable,7,1459,5.88
2025-01-18,MA,,14343,12409,86.52,1426,1143,80.15,391,700,195,74,86.05,11,2025,3,source field unavailable,7,1286,13.95
2025-01-25,MA,,16664,13983,83.91,1614,1308,81.04,422,991,243,81,93.10,12,2025,4,source field unavailable,7,1656,6.90
2025-02-01,MA,,15356,13288,86.53,1443,1169,81.01,349,1282,135,78,88.64,13,2025,5,source field unavailable,7,1766,11.36
2025-02-08,MA,,15702,13685,87.15,1600,1303,81.44,283,1574,139,76,86.36,14,2025,6,source field unavailable,7,1996,13.64
2025-02-15,MA,,11611,9960,85.78,1137,918,80.74,259,1257,101,59,67.05,15,2025,7,source field unavailable,7,1617,32.95
2025-02-22,MA,,15531,13479,86.79,1571,1276,81.22,240,1292,124,76,86.36,16,2025,8,source field unavailable,7,1656,13.64
2025-03-01,MA,,15834,13823,87.30,1618,1340,82.82,252,1062,83,78,88.64,17,2025,9,source field unavailable,7,1397,11.36
2025-03-08,MA,,15912,13669,85.90,1625,1327,81.66,220,744,74,80,90.91,18,2025,10,source field unavailable,7,1038,9.09
2025-03-15,MA,,11377,9686,85.14,1163,914,78.59,128,369,62,64,72.73,19,2025,11,source field unavailable,7,559,27.27
2025-03-22,MA,,15027,12759,84.91,1519,1190,78.34,151,288,44,75,85.23,20,2025,12,source field unavailable,7,483,14.77
2025-03-29,MA,,15752,13477,85.56,1606,1297,80.76,170,213,45,79,89.77,21,2025,13,source field unavailable,7,428,10.23
2025-04-05,MA,,15067,12740,84.56,1535,1207,78.63,131,130,43,76,86.36,22,2025,14,source field unavailable,7,304,13.64
2025-04-12,MA,,14964,12580,84.07,1528,1163,76.11,111,91,33,73,82.95,23,2025,15,source field unavailable,7,235,17.05
2025-04-19,MA,,15398,13084,84.97,1576,1121,71.13,134,83,38,77,87.50,24,2025,16,source field unavailable,7,255,12.50
2025-04-26,MA,,15424,12977,84.14,1564,1213,77.56,136,81,40,77,87.50,25,2025,17,source field unavailable,7,257,12.50
2025-05-03,MA,,15820,13522,85.47,1615,1283,79.44,125,49,31,80,90.91,26,2025,18,source field unavailable,7,205,9.09
2025-05-10,MA,,15854,13414,84.61,1604,1237,77.12,107,39,20,80,90.91,27,2025,19,source field unavailable,7,166,9.09
2025-05-17,MA,,16214,13637,84.11,1747,1351,77.33,83,30,15,80,90.91,28,2025,20,source field unavailable,7,128,9.09
2025-05-24,MA,,16270,13889,85.37,1737,1402,80.71,93,29,12,80,90.91,29,2025,21,source field unavailable,7,134,9.09
2025-05-31,MA,,16262,13777,84.72,1736,1381,79.55,134,26,10,81,92.05,30,2025,22,source field unavailable,7,170,7.95
2025-06-07,MA,,15603,13138,84.20,1601,1257,78.51,118,19,11,78,88.64,31,2025,23,source field unavailable,7,148,11.36
2025-06-14,MA,,16069,13766,85.67,1726,1384,80.19,110,23,15,78,88.64,32,2025,24,source field unavailable,7,148,11.36
2025-06-21,MA,,16180,13684,84.57,1774,1388,78.24,82,8,6,80,90.91,33,2025,25,source field unavailable,7,96,9.09
2025-06-28,MA,,16231,13790,84.96,1728,1346,77.89,66,17,6,80,90.91,34,2025,26,source field unavailable,7,89,9.09
2025-07-05,MA,,16132,13702,84.94,1742,1367,78.47,62,17,13,79,89.77,35,2025,27,source field unavailable,7,92,10.23
2025-07-12,MA,,15382,13122,85.31,1628,1321,81.14,55,9,9,79,89.77,36,2025,28,source field unavailable,7,73,10.23
2025-07-19,MA,,15412,13153,85.34,1645,1327,80.67,72,7,5,78,88.64,37,2025,29,source field unavailable,7,84,11.36
2025-07-26,MA,,16321,13899,85.16,1745,1415,81.09,88,4,10,79,89.77,38,2025,30,source field unavailable,7,102,10.23
2025-08-02,MA,,16330,13853,84.83,1750,1389,79.37,107,8,4,81,92.05,39,2025,31,source field unavailable,7,119,7.95
2025-08-09,MA,,16373,13923,85.04,1779,1383,77.74,126,6,1,81,92.05,40,2025,32,source field unavailable,7,133,7.95
2025-08-16,MA,,15934,13400,84.10,1631,1222,74.92,128,5,8,81,92.05,41,2025,33,source field unavailable,7,141,7.95
2025-08-23,MA,,16239,13848,85.28,1785,1403,78.60,157,7,2,81,92.05,42,2025,34,source field unavailable,7,166,7.95
2025-08-30,MA,,15632,13246,84.74,1638,1274,77.78,146,5,4,78,88.64,43,2025,35,source field unavailable,7,155,11.36
2025-09-06,MA,,15876,13348,84.08,1623,1246,76.77,181,12,3,81,92.05,44,2025,36,source field unavailable,7,196,7.95
2025-09-13,MA,,15695,13420,85.50,1644,1305,79.38,199,13,6,79,89.77,45,2025,37,source field unavailable,7,218,10.23
2025-09-20,MA,,16375,14058,85.85,1771,1393,78.66,228,10,11,80,90.91,46,2025,38,source field unavailable,7,249,9.09
2025-09-27,MA,,16347,13917,85.13,1762,1400,79.46,187,13,9,81,92.05,47,2025,39,source field unavailable,7,209,7.95
2025-10-04,MA,,13817,11608,84.01,1509,1147,76.01,154,16,21,74,84.09,48,2025,40,source field unavailable,7,191,15.91
2025-10-11,MA,,14910,12512,83.92,1648,1287,78.09,111,4,16,77,87.50,49,2025,41,source field unavailable,7,131,12.50
2025-10-18,MA,,15160,12605,83.15,1580,1228,77.72,116,10,12,77,87.50,50,2025,42,source field unavailable,7,138,12.50
2025-10-25,MA,,14012,11958,85.34,1418,1106,78.00,74,11,4,70,79.55,51,2025,43,source field unavailable,7,89,20.45
2025-11-01,MA,,16451,13974,84.94,1780,1414,79.44,84,18,32,80,90.91,52,2025,44,source field unavailable,7,134,9.09
2025-11-08,MA,,16651,14114,84.76,1803,1427,79.15,87,20,23,82,93.18,53,2025,45,source field unavailable,7,130,6.82
2025-11-15,MA,,15497,12942,83.51,1636,1251,76.47,79,35,19,80,90.91,54,2025,46,source field unavailable,7,133,9.09
2025-11-22,MA,,15878,13450,84.71,1794,1430,79.71,99,50,15,79,89.77,55,2025,47,source field unavailable,7,164,10.23
2025-11-29,MA,,16554,13449,81.24,1784,1342,75.22,114,72,21,81,92.05,56,2025,48,source field unavailable,7,207,7.95
2025-12-06,MA,,16051,13498,84.09,1727,1352,78.29,128,131,63,81,92.05,57,2025,49,source field unavailable,7,322,7.95
2025-12-13,MA,,16268,13661,83.97,1787,1436,80.36,174,221,38,78,88.64,58,2025,50,source field unavailable,7,433,11.36
2025-12-20,MA,,16635,14197,85.34,1765,1392,78.87,191,452,54,81,92.05,59,2025,51,source field unavailable,7,697,7.95
2025-12-27,MA,,15704,12621,80.37,1727,1324,76.66,263,874,75,79,89.77,60,2025,52,source field unavailable,7,1212,10.23
2026-01-03,MA,,15932,13499,84.73,1737,1351,77.78,336,1176,106,78,88.64,61,2026,1,source field unavailable,7,1618,11.36
2026-01-10,MA,2025-2026,16172,13933,86.16,1680,1350,80.36,258,838,108,79,89.77,62,2026,2,source reported,7,1204,10.23
2026-01-17,MA,2025-2026,16956,14233,83.94,1806,1457,80.68,213,479,98,80,90.91,63,2026,3,source reported,7,790,9.09
2026-01-24,MA,2025-2026,16980,14130,83.22,1792,1420,79.24,176,243,201,80,90.91,64,2026,4,source reported,7,620,9.09
2026-01-31,MA,2025-2026,17485,14268,81.60,1805,1416,78.45,154,222,110,81,92.05,65,2026,5,source reported,7,486,7.95
2026-02-07,MA,2025-2026,16874,13883,82.27,1809,1389,76.78,115,113,171,81,92.05,66,2026,6,source reported,7,399,7.95
2026-02-14,MA,2025-2026,16869,13944,82.66,1810,1431,79.06,111,80,199,81,92.05,67,2026,7,source reported,7,390,7.95
2026-02-21,MA,2025-2026,16746,13822,82.54,1810,1380,76.24,129,84,219,81,92.05,68,2026,8,source reported,7,432,7.95
2026-02-28,MA,2025-2026,16996,13714,80.69,1827,1389,76.03,112,75,209,81,92.05,69,2026,9,source reported,7,396,7.95
2026-03-07,MA,2025-2026,16228,13376,82.43,1690,1320,78.11,74,70,126,78,88.64,70,2026,10,source reported,7,270,11.36
2026-03-14,MA,2025-2026,16763,13855,82.65,1768,1387,78.45,92,54,164,79,89.77,71,2026,11,source reported,7,310,10.23
2026-03-21,MA,2025-2026,16315,13158,80.65,1766,1345,76.16,74,37,168,82,91.11,72,2026,12,source reported,7,279,8.89
2026-03-28,MA,2025-2026,17031,13859,81.38,1753,1317,75.13,45,43,132,84,93.33,73,2026,13,source reported,7,220,6.67
2026-04-04,MA,2025-2026,16798,13698,81.55,1709,1289,75.42,46,35,114,83,92.22,74,2026,14,source reported,7,195,7.78
2026-04-11,MA,2025-2026,16517,13418,81.24,1736,1308,75.35,26,45,111,82,91.11,75,2026,15,source reported,7,182,8.89
2026-04-18,MA,2025-2026,16724,13733,82.12,1737,1311,75.47,44,41,77,82,91.11,76,2026,16,source reported,7,162,8.89
2026-04-25,MA,2025-2026,17065,13779,80.74,1772,1284,72.46,33,27,69,86,95.56,77,2026,17,source reported,7,129,4.44
2026-05-02,MA,2025-2026,16153,12954,80.20,1644,1213,73.78,29,30,60,85,94.44,78,2026,18,source reported,7,119,5.56
2026-05-09,MA,2025-2026,16931,13705,80.95,1708,1269,74.30,42,19,38,87,96.67,79,2026,19,source reported,7,99,3.33
2026-05-16,MA,2025-2026,17219,13960,81.07,1783,1365,76.56,18,17,30,86,95.56,80,2026,20,source reported,7,65,4.44
2026-05-23,MA,2025-2026,17240,14170,82.19,1806,1386,76.74,14,10,9,86,95.56,81,2026,21,source reported,7,33,4.44
2026-05-30,MA,2025-2026,16985,13897,81.82,1779,1335,75.04,9,8,23,85,94.44,82,2026,22,source reported,7,40,5.56
2026-06-06,MA,2025-2026,17532,14483,82.61,1863,1406,75.47,14,3,17,86,95.56,83,2026,23,source reported,7,34,4.44
2026-06-13,MA,2025-2026,17515,14420,82.33,1850,1413,76.38,8,3,4,86,95.56,84,2026,24,source reported,7,15,4.44
2026-06-20,MA,2025-2026,17476,14399,82.39,1855,1393,75.09,8,0,10,86,95.56,85,2026,25,source reported,7,18,4.44
2026-06-27,MA,2025-2026,17511,14383,82.14,1864,1442,77.36,5,4,4,87,96.67,86,2026,26,source reported,7,13,3.33
2026-07-04,MA,2025-2026,16946,13861,81.80,1778,1339,75.31,4,2,8,87,96.67,87,2026,27,source reported,7,14,3.33
2026-07-11,MA,2025-2026,16448,13352,81.18,1733,1299,74.96,9,2,3,82,91.11,88,2026,28,source reported,7,14,8.89
2026-07-18,MA,2025-2026,17001,14034,82.55,1766,1322,74.86,9,0,4,86,95.56,89,2026,29,source reported,7,13,4.44
2026-07-25,MA,2025-2026,15883,13128,82.65,1665,1272,76.40,8,3,4,84,93.33,90,2026,30,source reported,7,15,6.67
2026-08-01,MA,2025-2026,16189,13349,82.46,1658,1253,75.57,17,1,4,85,94.44,91,2026,31,source reported,7,22,5.56
2026-08-08,MA,2025-2026,16825,13873,82.45,1745,1311,75.13,13,2,6,85,94.44,92,2026,32,source reported,7,21,5.56
2026-08-15,MA,2025-2026,16424,13641,83.06,1735,1295,74.64,32,1,4,82,91.11,93,2026,33,source reported,7,37,8.89
2026-08-22,MA,2025-2026,15446,12697,82.20,1604,1185,73.88,24,4,5,77,85.56,94,2026,34,source reported,7,33,14.44
