source_id,field_order,field_name,source_or_derived,rows,nonmissing,missing,distinct_nonmissing,negative_sentinel_like,teaching_role
cdc-places-tract-2025-ma-diabetes,1,year,source,1597,1597,0,1,0,"modeled adult diabetes prevalence, interval, population, county, and tract"
cdc-places-tract-2025-ma-diabetes,2,stateabbr,source,1597,1597,0,1,0,"modeled adult diabetes prevalence, interval, population, county, and tract"
cdc-places-tract-2025-ma-diabetes,3,statedesc,source,1597,1597,0,1,0,"modeled adult diabetes prevalence, interval, population, county, and tract"
cdc-places-tract-2025-ma-diabetes,4,countyname,source,1597,1597,0,14,0,"modeled adult diabetes prevalence, interval, population, county, and tract"
cdc-places-tract-2025-ma-diabetes,5,countyfips,source,1597,1597,0,14,0,"modeled adult diabetes prevalence, interval, population, county, and tract"
cdc-places-tract-2025-ma-diabetes,6,locationname,source,1597,1597,0,1597,0,"modeled adult diabetes prevalence, interval, population, county, and tract"
cdc-places-tract-2025-ma-diabetes,7,datasource,source,1597,1597,0,1,0,"modeled adult diabetes prevalence, interval, population, county, and tract"
cdc-places-tract-2025-ma-diabetes,8,category,source,1597,1597,0,1,0,"modeled adult diabetes prevalence, interval, population, county, and tract"
cdc-places-tract-2025-ma-diabetes,9,measure,source,1597,1597,0,1,0,"modeled adult diabetes prevalence, interval, population, county, and tract"
cdc-places-tract-2025-ma-diabetes,10,data_value_unit,source,1597,1597,0,1,0,"modeled adult diabetes prevalence, interval, population, county, and tract"
cdc-places-tract-2025-ma-diabetes,11,data_value_type,source,1597,1597,0,1,0,"modeled adult diabetes prevalence, interval, population, county, and tract"
cdc-places-tract-2025-ma-diabetes,12,data_value,source,1597,1597,0,177,0,"modeled adult diabetes prevalence, interval, population, county, and tract"
cdc-places-tract-2025-ma-diabetes,13,data_value_footnote_symbol,source,1597,0,1597,0,0,"modeled adult diabetes prevalence, interval, population, county, and tract"
cdc-places-tract-2025-ma-diabetes,14,data_value_footnote,source,1597,0,1597,0,0,"modeled adult diabetes prevalence, interval, population, county, and tract"
cdc-places-tract-2025-ma-diabetes,15,low_confidence_limit,source,1597,1597,0,163,0,"modeled adult diabetes prevalence, interval, population, county, and tract"
cdc-places-tract-2025-ma-diabetes,16,high_confidence_limit,source,1597,1597,0,195,0,"modeled adult diabetes prevalence, interval, population, county, and tract"
cdc-places-tract-2025-ma-diabetes,17,totalpopulation,source,1597,1597,0,1392,0,"modeled adult diabetes prevalence, interval, population, county, and tract"
cdc-places-tract-2025-ma-diabetes,18,totalpop18plus,source,1597,1597,0,1329,0,"modeled adult diabetes prevalence, interval, population, county, and tract"
cdc-places-tract-2025-ma-diabetes,19,geolocation,source,1597,1597,0,1597,0,"modeled adult diabetes prevalence, interval, population, county, and tract"
cdc-places-tract-2025-ma-diabetes,20,locationid,source,1597,1597,0,1597,0,"modeled adult diabetes prevalence, interval, population, county, and tract"
cdc-places-tract-2025-ma-diabetes,21,categoryid,source,1597,1597,0,1,0,"modeled adult diabetes prevalence, interval, population, county, and tract"
cdc-places-tract-2025-ma-diabetes,22,measureid,source,1597,1597,0,1,0,"modeled adult diabetes prevalence, interval, population, county, and tract"
cdc-places-tract-2025-ma-diabetes,23,datavaluetypeid,source,1597,1597,0,1,0,"modeled adult diabetes prevalence, interval, population, county, and tract"
cdc-places-tract-2025-ma-diabetes,24,short_question_text,source,1597,1597,0,1,0,"modeled adult diabetes prevalence, interval, population, county, and tract"
census-acs5-2024-b01001-ma-tract,1,tract_fips,derived tract key,1620,1620,0,1620,0,population and age-by-sex denominator estimates and margins
census-acs5-2024-b01001-ma-tract,2,GEO_ID,source,1620,1620,0,1620,0,population and age-by-sex denominator estimates and margins
census-acs5-2024-b01001-ma-tract,3,B01001_E001,source,1620,1620,0,1413,0,population and age-by-sex denominator estimates and margins
census-acs5-2024-b01001-ma-tract,4,B01001_M001,source,1620,1620,0,695,0,population and age-by-sex denominator estimates and margins
census-acs5-2024-b01001-ma-tract,5,B01001_E002,source,1620,1620,0,1236,0,population and age-by-sex denominator estimates and margins
census-acs5-2024-b01001-ma-tract,6,B01001_M002,source,1620,1620,0,522,0,population and age-by-sex denominator estimates and margins
census-acs5-2024-b01001-ma-tract,7,B01001_E003,source,1620,1620,0,318,0,population and age-by-sex denominator estimates and margins
census-acs5-2024-b01001-ma-tract,8,B01001_M003,source,1620,1620,0,233,0,population and age-by-sex denominator estimates and margins
census-acs5-2024-b01001-ma-tract,9,B01001_E004,source,1620,1620,0,335,0,population and age-by-sex denominator estimates and margins
census-acs5-2024-b01001-ma-tract,10,B01001_M004,source,1620,1620,0,221,0,population and age-by-sex denominator estimates and margins
census-acs5-2024-b01001-ma-tract,11,B01001_E005,source,1620,1620,0,354,0,population and age-by-sex denominator estimates and margins
census-acs5-2024-b01001-ma-tract,12,B01001_M005,source,1620,1620,0,225,0,population and age-by-sex denominator estimates and margins
census-acs5-2024-b01001-ma-tract,13,B01001_E006,source,1620,1620,0,263,0,population and age-by-sex denominator estimates and margins
census-acs5-2024-b01001-ma-tract,14,B01001_M006,source,1620,1620,0,186,0,population and age-by-sex denominator estimates and margins
census-acs5-2024-b01001-ma-tract,15,B01001_E007,source,1620,1620,0,237,0,population and age-by-sex denominator estimates and margins
census-acs5-2024-b01001-ma-tract,16,B01001_M007,source,1620,1620,0,184,0,population and age-by-sex denominator estimates and margins
census-acs5-2024-b01001-ma-tract,17,B01001_E008,source,1620,1620,0,178,0,population and age-by-sex denominator estimates and margins
census-acs5-2024-b01001-ma-tract,18,B01001_M008,source,1620,1620,0,149,0,population and age-by-sex denominator estimates and margins
census-acs5-2024-b01001-ma-tract,19,B01001_E009,source,1620,1620,0,167,0,population and age-by-sex denominator estimates and margins
census-acs5-2024-b01001-ma-tract,20,B01001_M009,source,1620,1620,0,149,0,population and age-by-sex denominator estimates and margins
