contract_id,measure_or_role,numerator,denominator,population,source,period,geography,module01_status,later_owner,claim_limit
"PD-01","PLACES modeled diagnosed-diabetes prevalence","modeled prevalence quantity; not an observed count","totalpop18plus carried by PLACES","adults age 18 and older represented by the PLACES model","CDC PLACES 2025 tract release","measure year 2023","Massachusetts census tract","accepted for source interpretation only","Module 02 measure build","cannot become an observed case count or program-effect estimate"
"PD-02","ACS total population estimate","not applicable","B01001_E001 estimate with B01001_M001 margin","total population represented by ACS","ACS 2020-2024 B01001","2020-2024 five-year estimate","Massachusetts census tract","accepted as a population source field","Module 02 denominator build","survey estimate; not a diabetes denominator until a matching measure is defined"
"PD-03","ACS adult age-by-sex denominator","not defined in Module 01","declared sum of accepted B01001 cells with margin method","adult population under a fixed age-band contract","ACS 2020-2024 B01001","2020-2024 five-year estimate","Massachusetts census tract","route accepted; formula not yet accepted","Module 02 denominator build","age bands, sums, margins, and exclusions require methods review"
"PD-04","Direct-standardization denominator","separately labeled synthetic events by age group","matching ACS-derived population by the same age group","fixed eligible teaching population","ACS plus deterministic synthetic event release","period fixed in Module 02","declared teaching geography","not constructed in Module 01","Module 02 standardization","standard population and age groups are not yet accepted"
"PD-05","Guided indirect-standardization denominator","separately labeled synthetic observed events","expected events from accepted reference rates and local population","sparse teaching population","ACS plus deterministic synthetic event release","period fixed in Module 02","declared teaching geography","not constructed in Module 01","Module 02 standardization","not an observed real-community standardized ratio"
"PD-06","Synthetic event numerator","deterministic fictional diabetes-related event aggregate","matching accepted synthetic or ACS-derived denominator named in the measure","explicitly synthetic teaching population","future Commons generator","version and period fixed in Module 02","teaching geography","not generated in Module 01","Module 02 source owner","cannot be paired with a public tract and reported as a real local outcome"
"PD-07","SVI population context","not applicable","not a health-rate denominator by default","area-level ACS-derived context","CDC/ATSDR SVI 2022","SVI 2022 documented vintages","Massachusetts census tract","accepted as context only","Module 03 and Module 04 context review","SVI E_TOTPOP and ranks are not interchangeable with a matching health denominator"
"PD-08","Unmatched-tract state","not applicable","not applicable","source rows outside a declared intersection","PLACES, ACS, and SVI","source-specific periods","Massachusetts census tract","must remain explicit","Every downstream module","unmatched rows cannot be silently discarded or treated as zero"
"PD-09","Individual denominator","prohibited","prohibited","individual residents","none","none","person","prohibited","Not owned by APP-5","area-level public data cannot define an individual denominator or risk"
"PD-10","Allocation denominator","not defined in Module 01","eligible fictional planning areas under a later accepted rule","fictional program decision population","accepted checkpoints plus synthetic capacity and community review","fixed in Module 05","declared planning geography","reserved","Module 05 targeting and fairness","no public source or score creates eligibility automatically"
